mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
183	1	12	20	150	3625	1200	500	8	79	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	3625	3200	8	260	22	36	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	6	200	7	25	0.15	0.08
2	1000	6	220	15	32	0.15	0.08
3	900	7	200	14	30	0.15	0.09
4	900	8	230	28	28	0.1	0.06
5	800	7	210	33	25	0.25	0.09
6	1100	6	210	13	31	0.25	0.05
7	800	7	210	13	23	0.15	0.05
8	800	7	210	30	19	0.25	0.09
9	800	5	230	25	26	0.15	0.08
10	1100	7	220	11	22	0.2	0.06
11	800	8	230	28	19	0.15	0.06
12	900	5	210	33	23	0.15	0.08

No.	x-cor	y-cor
1	19.1	12.2
2	18.2	30.2
3	25.4	22.7
4	23	32.3
5	28.1	25.1
6	20.9	5.9
7	22.7	34.4
8	9.8	18.2
9	26.3	21.8
10	29.3	20.3
11	8.9	19.4
12	27.5	28.4
13	19.1	25.7
14	31.1	17.6
15	8.3	20.3
16	13.1	20.3
17	17	33.5
18	6.8	18.5
19	29.6	24.2
20	11.6	19.1

Custoemr information:
Number	demand	x-cor	y-cor
1	15	26.28	22.82
2	10	23.52	33.9
3	35	22.92	34.26
4	35	14.06	21.14
5	30	17.68	30.7
6	40	18.94	31.18
7	20	29.54	24.8
8	20	27.52	28.46
9	45	29.24	21
10	25	19.62	26.34
11	25	28.16	24.58
12	10	23.24	33.1
13	45	18.48	26.68
14	25	25.56	22.72
15	25	31.62	17.42
16	20	22.38	31.74
17	40	18.16	29.38
18	10	28.2	28.48
19	40	26.88	27.7
20	30	18.02	31.18
21	10	29.68	25.18
22	35	30.42	18.56
23	45	28.16	28.72
24	45	17.6	33.94
25	20	19.04	29.76
26	35	17.6	29.34
27	5	22.74	34.64
28	5	20.02	25.92
29	20	26.52	28.18
30	20	28.04	24.36
31	40	27.5	25.12
32	30	14	20.08
33	10	25.74	22.8
34	5	26.1	23.22
35	5	28.36	29.08
36	25	22.1	34.7
37	20	22.5	31.54
38	15	22.82	31.38
39	5	23.28	32.82
40	25	27.4	25.18
41	5	31.72	18.34
42	10	30.48	16.76
43	25	18.7	29.62
44	10	18.96	30.96
45	40	29.56	20.14
46	40	25.34	23.38
47	25	16.2	32.64
48	35	18.68	25.74
49	25	28.6	23.58
50	15	23.7	32.72
51	25	30.02	24.06
52	5	27.28	24.46
53	45	17.96	30.84
54	5	29	24.98
55	20	22.8	32.38
56	30	29.76	24.8
57	30	25.04	23.04
58	15	19.62	24.74
59	45	31.18	16.72
60	30	14.08	19.32
61	40	14	20.04
62	30	18.36	25
63	25	27.42	25.5
64	30	26.72	22.52
65	20	21.74	34.28
66	45	22.24	33.42
67	45	27.82	29.16
68	5	26.38	21.54
69	10	25.56	23.12
70	20	31.68	16.68
71	45	19.1	29.26
72	15	25.92	22.68
73	10	22.02	33.4
74	5	29.7	24.02
75	5	19.16	30.66
76	15	18.92	29.82
77	20	14.04	19.6
78	40	17.3	34.36
79	15	28.62	21.16
80	15	22.1	34.32
81	35	18.56	29.5
82	25	23.14	34.28
83	25	22.32	33.42
84	15	28.22	24.68
85	20	17.7	30.48
86	25	19.28	25.2
87	10	17.98	33.34
88	15	19.72	26.24
89	20	30.52	23.82
90	10	26.18	22.28
91	40	22.86	34.58
92	30	19.04	29.26
93	10	23.16	32.84
94	15	19.32	25.8
95	15	17.3	34.24
96	10	23.54	31.42
97	15	14.04	20.96
98	5	30.56	23.52
99	20	19.96	25.44
100	5	18.28	29.64
101	35	14.08	20.58
102	30	31.22	16.88
103	35	25.64	21.52
104	15	18.18	26.66
105	15	30.46	24.7
106	15	22.94	34.02
107	5	22.44	33.42
108	10	26.08	21.78
109	40	30.42	24.26
110	35	30.7	18.5
111	10	31.06	18.26
112	5	29.48	24.72
113	20	27.24	26
114	30	18.98	30.04
115	25	19.02	30.52
116	35	23.62	33.04
117	25	26.62	28.86
118	15	18.16	26.54
119	5	19.94	24.88
120	25	23.46	31.38
121	35	27.02	22
122	30	30.06	20.42
123	25	19.28	26.12
124	20	14.06	20.78
125	40	25.46	22.78
126	45	22.62	33.7
127	10	29.9	24.96
128	30	16.24	33.6
129	40	17.48	29.84
130	30	23.98	33.22
131	20	14.06	20.26
132	10	23.72	32.14
133	40	28.48	28.48
134	40	14.08	21.14
135	45	29.08	20.22
136	35	28.86	24.38
137	45	25.4	21.56
138	15	18.52	29.32
139	30	22.72	33.22
140	25	18.96	30.28
141	35	28.4	27.92
142	20	26.32	23.12
143	20	26.14	22.96
144	35	26.92	27.72
145	45	24.98	23.08
146	30	22.8	33.58
147	5	27.66	28.14
148	40	18.66	31.1
149	45	14.04	20.24
150	45	27.82	27.62

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
