mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
233	1	12	20	200	5075	1200	500	10	79	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	5075	3200	10	280	30	10	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	6	200	18	31	0.1	0.08
2	800	7	210	25	26	0.25	0.09
3	1000	7	220	17	15	0.2	0.06
4	900	8	200	14	12	0.25	0.05
5	800	6	210	21	26	0.15	0.05
6	1000	8	230	33	23	0.25	0.06
7	1100	5	210	11	26	0.15	0.05
8	1100	5	220	21	18	0.1	0.06
9	900	6	210	26	23	0.1	0.08
10	800	8	230	17	12	0.2	0.08
11	1100	7	210	17	19	0.15	0.09
12	900	6	200	16	24	0.2	0.06

No.	x-cor	y-cor
1	31.4	12.5
2	25.1	13.4
3	6.2	25.4
4	10.7	19.7
5	17.9	20.3
6	24.8	17.9
7	16.7	29.6
8	21.5	25.1
9	30.8	22.7
10	7.4	20.3
11	8.9	15.2
12	8.3	16.1
13	22.7	5.9
14	18.5	19.4
15	8.9	21.5
16	12.5	23.3
17	20.3	21.2
18	34.7	19.1
19	25.4	23.9
20	15.5	14.9

No.	cdemand	x-cor	y-cor
1	35	20.12	20.34
2	45	18.16	21.08
3	15	17.14	29.7
4	40	31.7	23.16
5	40	31.2	21.98
6	5	21.64	25.16
7	25	25.86	23.88
8	10	34.32	19.54
9	5	21.34	24.4
10	15	19.56	21.9
11	40	29.98	23.1
12	40	31.78	22.94
13	20	25.16	14.34
14	30	18.82	20.92
15	30	18.38	19.1
16	30	24.48	17.14
17	5	31.72	22.58
18	20	21.6	25.22
19	15	33.94	18.4
20	5	18.14	19.34
21	5	34.04	19.68
22	10	34.76	20.02
23	40	17.3	19.96
24	15	25.58	23.56
25	40	25.32	17.68
26	10	24.26	14.02
27	20	17.82	20.28
28	30	19.14	19.38
29	40	21.92	24.7
30	10	21.24	22.12
31	30	24.94	24.82
32	20	20.64	21.58
33	5	34.14	19.02
34	25	35	20
35	35	24.88	23.84
36	45	24.84	17.74
37	40	25.2	14.02
38	35	17.84	18.46
39	30	24.14	16.96
40	5	16.68	29.36
41	45	25.94	14.36
42	25	20.5	25.82
43	30	34.88	19.52
44	25	25.56	14
45	20	21	25.96
46	35	25.52	18.62
47	30	18.86	20.02
48	5	19.5	21.46
49	40	16.94	28.68
50	5	18.1	18.74
51	20	16.5	29.48
52	5	26.08	14.06
53	15	31.26	22.62
54	45	30.4	23.02
55	15	34.18	18.98
56	5	17.58	20.26
57	30	33.78	18.62
