mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
193	1	12	30	150	3635	1200	500	8	79	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	3635	3600	8	300	30	10	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	7	200	23	17	0.25	0.08
2	1000	7	200	16	32	0.1	0.06
3	900	6	230	24	32	0.1	0.06
4	1100	5	230	10	16	0.25	0.05
5	1100	5	230	21	11	0.15	0.08
6	1100	5	220	17	7	0.15	0.06
7	900	8	220	27	24	0.15	0.08
8	900	7	200	30	27	0.15	0.09
9	800	8	200	23	16	0.2	0.08
10	900	5	220	14	32	0.25	0.09
11	800	8	220	10	15	0.1	0.09
12	1100	8	200	17	13	0.2	0.09

No.	x-cor	y-cor
1	17.6	28.1
2	27.2	8
3	33.2	19.7
4	16.1	11.6
5	33.2	17
6	25.7	23.9
7	11.9	13.7
8	26	20.9
9	30.5	11.6
10	9.5	14.9
11	6.2	15.2
12	15.8	20.6
13	32.3	14.9
14	20.3	6.2
15	31.1	24.2
16	12.8	10.7
17	29.6	26.6
18	5.6	16.1
19	27.2	13.1
20	29.9	17
21	21.5	14
22	18.5	9.5
23	33.2	16.7
24	30.5	17.6
25	10.7	9.5
26	29.9	25.1
27	13.4	11.3
28	15.8	6.8
29	22.7	10.1
30	9.2	10.1

No.	cdemand	x-cor	y-cor
1	45	30.4	16.62
2	30	29.3	17.72
3	45	21.78	14.5
4	15	32.66	19.66
5	30	29.04	24.46
6	15	32.56	17.24
7	45	30.14	17.2
8	20	32.32	17.02
9	10	33.08	17.72
10	15	25.76	20.7
11	5	29.28	16.08
12	35	30.52	24.3
13	45	30.88	16.92
14	5	26.5	24.72
15	45	31.9	14.48
16	25	31.08	18.52
17	15	29.9	18.16
18	5	30.18	23.44
19	10	30.14	16.5
20	5	29.76	17.56
21	5	29.78	25.5
22	40	29.58	24.7
23	10	24.86	23.12
24	45	33.24	17.04
25	5	32.98	14.72
26	30	22.32	14.92
27	40	20.76	14.26
28	35	26.24	14.02
29	10	26.64	23.2
30	10	30.2	17.74
31	10	18	28.3
32	45	18.08	27.24
33	15	28.9	25.86
34	35	34.02	19.58
35	10	31.56	23.72
36	35	24.74	23.5
37	25	32.36	20.2
38	35	31.32	16.78
39	10	26.82	19.9
40	35	32.78	17.4
41	45	30.3	25.48
42	5	25.16	21.58
43	5	34.16	16.34
44	25	28.92	26.78
45	35	33.36	17.42
46	45	29.8	26.22
47	20	26.12	21.32
48	15	18.16	27.58
49	5	29.74	18.08
50	30	31.86	24.18
51	10	32.96	16.64
52	35	29.12	24.26
53	15	31.38	17.66
54	10	17.48	27.98
55	40	30.46	17.92
56	15	26.46	14.08
57	35	33.78	16.42
58	45	29.2	27.24
59	5	27.32	14.08
60	20	21.3	14.16
61	15	30.26	24.1
62	40	29.72	17.56
63	15	18.06	27.62
64	40	30	18.16
65	5	29.74	26.04
66	45	29.82	25.96
67	15	30.46	17.24
68	35	30.6	18.52
69	25	28.72	27.14
70	35	27.8	14.06
71	10	34.06	19.9
72	35	25.24	24.68
73	5	30.28	16.98
74	5	29.16	25.96
75	30	29.24	16.58
76	40	31.24	24.38
77	20	30.38	16.96
78	30	28.74	27.3
79	20	32.3	17.32
80	15	22.42	14.68
81	25	30.62	25.48
82	15	31.6	14
83	20	34.02	17.56
84	40	30.28	26.24
85	30	29.7	26.26
86	5	33.22	18.94
87	15	32.46	19.24
88	10	33.38	16.4
