mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
243	1	12	30	200	5100	1200	500	10	78	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	5100	3000	10	280	34	34	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	210	17	11	0.15	0.05
2	1000	5	210	17	9	0.25	0.05
3	900	6	200	31	17	0.2	0.05
4	1100	8	210	31	22	0.25	0.05
5	1000	5	210	26	22	0.25	0.05
6	900	6	220	22	15	0.1	0.08
7	900	5	230	8	17	0.15	0.05
8	1000	8	200	23	30	0.1	0.05
9	800	8	220	27	8	0.25	0.06
10	900	5	220	12	26	0.2	0.05
11	800	7	200	22	7	0.2	0.09
12	900	8	220	11	19	0.2	0.08

No.	x-cor	y-cor
1	5.9	20.3
2	19.4	22.7
3	12.2	22.4
4	28.4	25.7
5	11.9	28.7
6	9.2	23.9
7	11.9	27.2
8	23.9	14.6
9	27.8	15.2
10	34.4	21.8
11	11.3	20.6
12	11.9	17.9
13	24.2	18.2
14	28.4	27.8
15	24.5	21.8
16	5.3	17.6
17	8.6	10.4
18	25.4	11.6
19	32.6	16.1
20	16.1	17.3
21	34.7	22.4
22	17.3	34.4
23	27.2	23
24	22.7	14.6
25	8.6	24.5
26	31.7	20.9
27	9.5	29.6
28	24.5	26.6
29	8.3	13.7
30	21.2	32

No.	cdemand	x-cor	y-cor
1	45	15.24	17.28
2	45	23.58	26.76
3	10	22.44	14.64
4	30	16.98	33.92
5	40	28.68	15.62
6	45	21.7	14.12
7	35	34.2	21.4
8	10	26.62	23.58
9	15	29.32	25.28
10	40	15.72	18.22
11	15	31.76	15.84
12	5	24.78	15.48
13	15	31.64	16.16
14	15	18.02	34.6
15	20	16.86	17.48
16	10	24.64	18.74
17	40	24.22	22.44
18	25	25.22	21.2
19	30	24.7	18.56
20	10	34.24	22.38
21	35	23.5	22.68
22	5	17.04	33.44
23	10	22.48	14.14
24	40	19.04	23.5
25	25	16.02	17.76
26	25	28.12	22.26
27	40	28.2	28.36
28	35	33.54	21.86
29	25	28.96	25.38
30	40	23.26	15.5
31	40	28.46	27.24
32	20	18.24	34.36
33	25	18.4	22.3
34	30	33.42	20.94
35	5	28.82	28.16
36	35	23.26	18.46
37	15	33.26	15.42
38	40	28.6	27.92
39	45	31.68	21.6
40	10	25.18	26.92
41	5	33.84	21.32
42	20	24.92	25.94
43	45	27.82	26.86
44	20	34.78	21.52
45	25	24.02	25.96
46	30	27.86	27.9
47	40	28.2	26.28
48	10	23.04	15.48
49	35	26.48	22.18
50	15	28.04	22.92
51	35	16.86	34.46
52	20	23.86	26.02
53	20	17.2	34.66
54	35	33.98	22.08
55	25	17.94	34.16
56	15	27.84	26.66
57	45	24.42	15.34
58	5	32.34	16.78
59	10	16.42	34.2
60	40	24.42	14.72
61	35	28.46	25.54
62	5	24.9	27.42
63	20	31.74	15.6
64	35	16.48	33.42
65	20	27.88	27.78
66	15	16.58	34.26
67	15	22.96	14.18
68	15	26.9	22.26
69	5	28.1	27.16
70	10	19.56	22.4
71	25	17.94	34.3
72	30	28.08	25.36
73	10	24.66	25.8
74	30	34.46	22.96
75	15	33.96	21.64
76	40	24.68	15.48
77	10	15.12	16.46
78	30	16.78	17.12
79	45	23.38	15.34
80	25	24.08	26.26
81	30	28.68	27.52
82	35	17.48	33.78
83	25	24.56	25.92
84	45	24.18	14.88
85	10	23.62	18.28
86	25	27.92	16.08
87	45	23.7	18.98
88	35	27.76	14.88
89	25	28.08	24.96
90	45	34.16	22.62
91	10	25.22	22.76
92	20	25.38	26.72
93	25	19.38	22.72
94	35	25.2	21.84
95	45	25.42	26.12
96	35	16.2	18.24
97	5	17.8	34.04
98	45	24.54	14.98
99	30	28.48	26.18
100	15	23.34	18.26
101	25	19.74	23.28
102	35	22.42	15.46
103	15	29.02	27.44
104	10	27.84	23.1
105	5	21.8	15.52
106	35	15.82	18.24
107	15	22.98	15.54
108	30	34.5	22.26
109	30	32.54	21.66
110	25	28.54	14.9
111	45	15.7	17.18
112	10	17.6	34.18
113	5	32.64	16.8
114	5	34.18	21.06
115	45	34.64	21.58
116	45	23.88	18.42
117	45	28.68	28.46
118	35	18.64	22.12
119	30	27.52	15.74
120	5	18.46	22.02
121	30	31.86	16
122	40	25.16	22.28
123	5	33.78	22.1
124	30	32.92	15.52
125	15	16.42	17.94
126	20	15.12	17.1
127	30	28.78	25.76
128	20	16.24	18.28
129	45	31.14	20.64
130	30	17.62	34.62
131	10	18.9	22.9
132	35	24.58	17.86
133	40	28.16	25
134	5	16.36	33.52
135	25	17.98	34.12
136	30	16.26	17.2
137	25	18.46	22.16
138	5	32.58	16.74
139	30	32.68	20.08
140	40	27.54	16.06
141	35	28.32	25.74
142	5	26.82	22.78
143	45	24.58	21.18
144	5	22.32	15.3
145	10	27.6	26.38
146	35	24.26	14.54
147	20	24.8	22.18
148	25	20.14	23.38
149	10	23.38	14.24
150	25	15.42	17.24
151	45	19.5	22.2
152	35	22.72	14.4
153	35	27.68	14.36
154	40	28.64	15.56
155	10	27.78	14.84
156	40	19.58	23.06
157	20	19.06	22.92
158	30	27.46	22.86
159	5	32.5	21.02
160	35	27.44	16.12
161	10	34.72	21.46
162	35	23.34	15.58
163	15	28.16	27.76
164	45	33.5	21.96
165	5	25.1	21.3
166	10	17.14	34.32
167	20	31.78	21.64
168	30	27.54	24.84
169	10	26.82	23.9
170	45	23.48	18.48
171	15	15.5	17.78
172	10	18.44	23.04
173	40	32.98	16.54
174	40	24.96	18.44
175	10	23.58	26.1
176	35	15.34	17.52
177	5	25	25.72
178	25	26.26	22.6
179	35	33.52	22.48
180	10	28.62	26
181	45	33.54	22.02
182	20	19.34	22
183	20	27.02	15.82
184	35	28.04	15.44
185	40	25.46	26.26
186	20	24.2	21.36
187	35	28.52	26.18
188	5	23.54	15.16
189	20	24.7	18.92
190	45	32.14	15.6
191	40	25.26	21.68
192	25	34.64	21.6
193	40	24.3	25.98
194	35	23.28	18.14
195	10	27.4	26.14
196	30	27.44	22.92
197	45	23.72	17.84
198	5	31.88	21.08
199	30	23.78	14.88
200	30	28.48	15.32

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
