mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
115	1	4	10	100	2490	1200	500	6	29	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	2490	3400	6	250	36	14	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	6	210	28	27	0.2	0.09
2	800	7	210	29	15	0.1	0.09
3	1100	8	210	24	29	0.25	0.06
4	1000	8	210	13	21	0.2	0.06

No.	x-cor	y-cor
1	17	30.5
2	32	14.3
3	31.7	27.2
4	29	13.1
5	33.8	25.1
6	34.4	17.6
7	26.6	25.4
8	6.2	18.2
9	23.6	28.7
10	8.3	19.1

No.	cdemand	x-cor	y-cor
1	30	23.92	28.3
2	40	17.3	30.82
3	5	34.44	18.44
4	20	24.18	28.72
5	5	25.74	26.38
6	45	23.06	29.64
7	40	29.42	14.04
8	15	24.34	28.76
9	20	34.28	24.3
10	25	32.94	24.32
11	5	31.62	14.04
12	15	25.84	24.44
13	15	34.66	17.36
14	35	16.46	29.88
15	20	27.36	24.6
16	15	33.82	25.42
17	45	33.92	16.94
18	25	22.68	28.36
19	40	29.86	14.06
20	15	32.9	14.66
21	35	32.8	15.12
22	35	33.42	24.16
23	10	29.12	14
24	35	31.52	26.64
25	45	33.52	16.9
26	35	24.28	29.2
27	45	33.6	18
28	25	26.62	25.2
29	15	32.94	15.26
30	45	17.44	30.74
31	45	34.06	24.24
32	20	32.6	14.72
33	40	30.74	27.52
34	40	16.44	31.34
35	25	31.42	14.96
36	40	31.9	27.12
37	40	27.54	26.02
38	25	32.8	25.26
39	5	29.56	14.06
40	30	32.68	14.64
41	45	28.54	14.08
42	45	17.9	29.54
43	5	33.7	17.06
44	40	31.6	14.86
45	45	31.46	14.28
46	15	22.7	29.14
47	30	34.08	17.42
48	15	30.96	27.1
49	15	34.68	17.84
50	5	26.26	25.64
51	10	29.18	14.06
52	35	34.56	17.32
53	20	32.26	15.14
54	35	31.44	27.68
55	40	29.24	14.06
56	5	16.34	29.9
57	35	29.06	14.04
58	25	27.24	24.92
59	30	23.76	27.8
60	15	31.78	14.42
61	25	31.68	15.14
62	30	34.3	18.18
63	30	28.78	14.04
64	30	26.78	26.12
65	15	32.02	26.84
66	20	17.74	30.96
67	25	28.88	14.02
68	10	22.62	29.24
69	10	34.76	18.28
70	25	16.46	31.18
71	40	32.92	24.26
72	20	27.14	24.5
73	30	31.94	14.66
74	10	28.92	14.04
75	20	16.46	30.68
76	20	27.44	25.14
77	10	28.5	14.08
78	5	16.52	31.46
79	20	34.52	17.2
80	30	16.44	30.22
81	45	30.96	27.72
82	25	33.04	25.06
83	10	34.08	25
84	5	29.66	14
85	10	17.82	29.56
86	40	16.36	29.62
87	5	25.7	24.78
88	5	31.14	28
89	40	33.7	18.18
90	15	29.96	14.02
91	35	24.02	28.94
92	5	17.72	31.12
93	45	23.76	29.58
94	10	30.8	27.58
95	10	34.54	16.84
96	40	22.98	28.14
97	20	32.6	14.48
98	30	31.62	27.5
99	20	31	14.46
100	30	23.9	28.1

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
