mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
65	1	4	10	50	1295	1200	500	4	29	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1295	3000	4	260	12	4	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	5	230	12	28	0.2	0.09
2	800	8	220	31	26	0.15	0.05
3	900	8	210	18	21	0.15	0.05
4	1000	8	210	27	17	0.25	0.05

No.	x-cor	y-cor
1	5.6	17
2	22.7	9.8
3	8.9	12.5
4	34.1	22.7
5	33.2	14.6
6	9.5	12.5
7	11.3	9.8
8	17.9	30.2
9	19.7	26
10	25.1	18.8

No.	cdemand	x-cor	y-cor
1	40	34.58	21.98
2	5	34.02	21.82
3	20	17.02	31.04
4	45	20.62	26.96
5	5	17.84	30.96
6	10	20.14	26.22
7	35	33.24	14.3
8	20	34.16	22.22
9	15	16.96	29.84
10	40	20.58	26.78
11	25	20.58	25.24
12	10	20.18	26.62
13	20	18.92	25.62
14	15	33.68	15.44
15	35	32.88	14.46
16	15	33.18	22.56
17	25	20.3	25.52
18	15	18.38	30.9
19	35	20.66	25.08
20	35	33.52	23.1
21	45	32.28	14.82
22	40	32.34	14.32
23	25	18.78	25.38
24	35	34.8	21.82
25	40	33.58	23.6
26	20	33.26	22.42
27	5	34.4	22
28	15	18.32	29.26
29	20	32.68	14.2
30	20	32.54	14.06
31	15	17.12	29.44
32	5	18.5	31.02
33	40	19.9	26.22
34	45	33.7	15.58
35	40	33.72	14.86
36	40	17.44	31.02
37	45	33.24	15.34
38	15	18.58	29.8
39	45	18.84	30.8
40	35	19.08	25.3
41	45	33.18	22.16
42	40	18.66	29.24
43	40	34.8	22.2
44	5	19.46	26.84
45	10	19.32	25.48
46	10	17.92	30.22
47	25	19.28	26.34
48	15	34.02	22.24
49	25	19.28	26.72
50	25	33.58	14.3

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
