mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
125	1	4	20	100	2365	1200	500	5	26	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	2365	3600	5	300	30	4	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	8	210	11	27	0.2	0.05
2	900	5	200	23	14	0.15	0.06
3	1100	7	220	22	10	0.1	0.08
4	1000	6	200	22	23	0.2	0.09

No.	x-cor	y-cor
1	18.5	34.1
2	9.2	17
3	30.2	18.2
4	7.1	17.3
5	8.3	19.1
6	28.4	15.5
7	10.1	29.3
8	28.4	11.9
9	14.3	32
10	23.9	17.3
11	12.2	15.5
12	11.3	23.6
13	17.3	26
14	34.4	17.3
15	34.4	20.9
16	17	10.4
17	8	22.4
18	32.6	26
19	33.8	25.4
20	23.6	13.7

No.	cdemand	x-cor	y-cor
1	45	18.72	33.1
2	35	15.22	32.16
3	10	14.46	32.74
4	35	34.5	20.5
5	15	28.74	15.8
6	15	30.42	18.78
7	20	33.6	16.46
8	45	32.36	25.06
9	20	14.64	31.86
10	35	34.38	17.8
11	15	31.96	25.08
12	15	17.84	25.96
13	30	33.3	25.84
14	15	28.54	15.7
15	25	18	26.62
16	30	29.08	15.4
17	20	24.26	17.7
18	10	33.46	24.4
19	25	32.5	26.12
20	15	32.98	24.52
21	35	17.76	33.52
22	15	19.42	33.56
23	5	34.04	17.02
24	5	32.4	25.64
25	35	18.84	33.82
26	40	14.62	32.56
27	25	33.4	21.78
28	30	14.98	32.28
29	35	18.1	33.66
30	35	29.44	18.32
31	25	24.04	17.54
32	35	33.98	25.02
33	15	27.42	15.3
34	25	27.8	15.78
35	25	34.82	17.84
36	30	23.74	18.2
37	35	33.24	24.44
38	20	32.24	25.1
39	10	28.6	14.88
40	40	23.32	17.22
41	5	29.22	17.68
42	15	34.66	17.96
43	15	28.78	15.72
44	40	17.7	34.36
45	20	33.76	21.38
46	25	14.48	31.7
47	20	19.1	34.9
48	5	14.98	32.3
49	35	30.88	18.78
50	35	29.24	15.7
51	10	34.24	17.06
52	10	34.02	20.48
53	15	17.52	34.06
54	25	31.72	26.48
55	45	29.04	15.2
56	5	30.86	18.64
57	35	24.42	17.06
58	20	30.36	18.58
59	35	17.78	33.42
60	10	24.64	17.6
61	20	28.26	16.42
62	5	33.96	24.54
63	25	29.86	17.66
64	45	31.02	17.34
65	30	32.04	25.42
66	20	34.9	20.08
67	30	33.76	21.58
68	20	34.04	16.3
69	5	17.8	34.36
70	25	17.7	25.14
71	25	23.98	17.56
72	25	34.62	21.04
73	30	34.48	17.52
74	15	28.5	14.82
75	35	34.5	16.34
76	40	33.3	25.2
77	10	34.56	21.54
78	45	17.52	33.58
79	10	14.42	31.32
80	30	17.66	25.92
81	25	30.48	18.06
82	40	19.16	34.42
83	15	29.42	17.54
84	10	33.12	26.62
85	10	28.14	16.2
86	25	18.08	26.14
87	5	34.2	20.56
88	10	33.62	24.48
89	15	17.56	34.6
90	35	28.16	15.76
91	10	32.56	25.24
92	5	14.84	31.84
93	45	19.28	34.06
94	45	27.72	16.16
95	40	28.1	15.32
96	5	14.32	32.2
97	25	34.2	20.36
98	20	14.34	32.26
99	25	33.08	25.12
100	45	29.72	18.16

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
