mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
75	1	4	20	50	1145	1200	500	3	23	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1145	3400	3	280	22	36	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	8	200	10	14	0.2	0.08
2	900	8	210	22	19	0.25	0.09
3	1000	6	220	33	21	0.25	0.08
4	900	7	210	7	25	0.25	0.05

No.	x-cor	y-cor
1	17	13.1
2	28.4	14
3	29.6	30.5
4	11	30.2
5	9.8	17.6
6	29	32
7	26	8.9
8	19.4	17.6
9	16.1	18.5
10	9.2	25.7
11	22.1	30.2
12	7.7	14.6
13	18.2	31.1
14	27.2	22.4
15	16.4	28.4
16	14	23.3
17	23.3	26.3
18	6.2	17
19	29.6	10.1
20	5.6	19.1

No.	cdemand	x-cor	y-cor
1	5	16.06	14.04
2	30	19	18.4
3	40	23.68	26.96
4	25	26.88	22.7
5	20	18.42	16.8
6	15	14.04	23.2
7	30	28.82	31
8	15	16.44	14.04
9	5	16.78	14.06
10	5	20.04	18.56
11	15	16.28	18.32
12	30	19.9	18.48
13	40	28.6	31.36
14	10	27.64	14.06
15	25	16.62	29.3
16	25	28.8	31
17	40	24.06	26.64
18	40	28.52	31.1
19	15	17.04	17.68
20	5	30.36	30.66
21	5	24.14	26.64
22	10	27.42	23.06
23	25	28.82	30.16
24	45	14.68	22.8
25	5	14.92	24.2
26	30	28.84	29.76
27	45	16	14
28	25	15.9	27.66
29	5	29.68	31
30	45	21.9	30.88
31	10	16.78	27.8
32	45	29.32	29.6
33	25	17.38	28.3
34	10	22.36	26.1
35	25	16.3	14
36	40	17.24	28.5
37	40	19.1	17.2
38	30	14.92	22.44
39	20	22.26	30.76
40	5	21.68	30.36
41	10	19.34	16.96
42	40	14.22	24.08
43	25	16.88	14
44	10	30.42	29.92
45	5	14.44	23.32
46	40	29.26	14.8
47	25	16.4	17.56
48	15	30.42	29.98
49	35	17.22	14.08
50	15	29.62	31.16

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
