mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
119	1	8	10	100	2520	1200	500	6	55	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	2520	3600	6	250	38	18	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	6	220	11	15	0.2	0.08
2	800	5	210	31	26	0.1	0.06
3	1000	7	230	29	28	0.2	0.08
4	1000	7	200	18	27	0.25	0.08
5	800	8	220	27	22	0.25	0.06
6	800	7	220	31	15	0.2	0.08
7	800	7	230	16	9	0.15	0.09
8	1000	8	230	10	13	0.25	0.09

No.	x-cor	y-cor
1	19.4	30.8
2	18.2	25.7
3	29	29.9
4	29	21.2
5	28.4	14
6	5.3	19.4
7	21.2	17
8	28.4	9.5
9	22.7	7.4
10	23.9	16.1

No.	cdemand	x-cor	y-cor
1	30	29.16	14.7
2	30	19.96	31
3	25	19.2	30.66
4	5	17.52	25.24
5	15	28.08	21.9
6	45	20.52	17.44
7	30	28.6	21.74
8	15	21.36	16.88
9	10	19.42	31.64
10	20	27.42	14.16
11	20	28.7	14.84
12	15	21.42	17.12
13	40	28.06	14.38
14	10	20.54	16.18
15	30	20.76	16.48
16	25	18.6	30.3
17	45	28.98	20.22
18	25	20.98	17.24
19	35	20.66	16.8
20	25	18.04	24.9
21	40	29.02	29.02
22	15	21.3	16.82
23	15	29.22	14.16
24	35	20.86	17.16
25	10	17.56	25.42
26	5	28.82	29.2
27	10	28.92	30.2
28	15	20.54	17.48
29	15	20.1	31.7
30	30	27.72	14.66
31	35	29.46	21.62
32	30	17.9	25.5
33	40	28.98	20.5
34	20	20.36	16.72
35	40	19.16	31.34
36	10	19.98	30.06
37	35	27.9	14.24
38	25	28.86	21
39	25	29.1	28.94
40	15	28.1	14.26
41	30	28.8	14.06
42	5	17.36	25.28
43	5	21.02	17.12
44	40	27.84	14.66
45	25	17.42	26.24
46	15	28.46	29.98
47	25	29.24	14.34
48	25	29.84	21.32
49	5	28.16	21.42
50	20	20.92	17.7
51	45	19.74	31.6
52	35	29.38	29.6
53	30	20.34	29.94
54	40	28.78	29.44
55	40	28.94	30.86
56	40	28.32	14.74
57	10	19.82	31.08
58	45	19.08	30.74
59	30	18.66	29.82
60	35	28.92	29.78
61	10	27.6	14.66
62	25	28.14	20.6
63	10	17.32	25.06
64	5	29.28	22.06
65	10	29.16	20.56
66	30	28.68	14.82
67	40	29.7	20.98
68	35	28.78	14.72
69	20	27.78	14.76
70	25	29.62	30.4
71	45	29.8	29.06
72	45	29.1	21.76
73	5	28.36	14.3
74	10	29.4	21.58
75	40	20	31.28
76	15	29.94	22.08
77	35	20.8	16.38
78	45	21.42	16.96
79	20	18.5	25.3
80	40	21.36	17.2
81	20	29.8	20.74
82	45	18.46	26.36
83	25	22.1	16.3
84	20	20.06	30.54
85	40	29.96	21.38
86	40	29.2	30.5
87	5	29.8	20.8
88	5	18.18	25.16
89	10	28.6	29.44
90	20	29.3	30.12
91	25	28.76	14.12
92	40	18.78	30.44
93	15	28.2	20.64
94	45	18.82	31.3
95	35	28.36	20.96
96	30	18.58	30.76
97	15	28.72	14.82
98	20	19.72	31.28
99	15	20.8	17.02
100	35	17.84	25.82

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
