mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
169	1	8	10	150	3795	1200	500	8	51	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	3795	3200	8	280	32	28	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1100	7	220	21	21	0.25	0.08
2	800	7	210	32	24	0.15	0.09
3	1100	8	200	33	25	0.1	0.08
4	800	5	210	18	7	0.2	0.09
5	1100	5	230	23	27	0.2	0.06
6	1100	6	210	29	24	0.2	0.05
7	800	5	210	14	17	0.25	0.09
8	900	8	210	29	21	0.25	0.05

No.	x-cor	y-cor
1	29	18.5
2	8.9	29
3	14.3	17
4	29.9	23
5	32.9	24.8
6	14	11.9
7	7.7	21.8
8	33.5	18.8
9	16.4	30.2
10	17.3	26.3

No.	cdemand	x-cor	y-cor
1	10	29.82	23.14
2	25	29.16	17.82
3	40	29.62	23.88
4	45	32.78	25.5
5	40	16.52	29.2
6	5	14.56	17.48
7	30	32.54	19.26
8	45	30.1	23.54
9	30	15.92	31.14
10	20	33	25.52
11	10	16.54	29.66
12	35	32.54	25.02
13	5	29.22	23.6
14	40	30.34	23.04
15	35	29.48	19.4
16	15	17.1	29.62
17	20	16.18	29.54
18	40	14.12	16.36
19	45	28.7	17.56
20	15	14.12	16.76
21	5	32.62	19.62
22	30	30.72	23.04
23	10	16.48	30.18
24	15	29.7	23.18
25	35	16.56	31.1
26	35	31.92	23.92
27	35	14.68	17.62
28	45	32.7	25.16
29	35	15.26	16.14
30	30	14.42	17.44
31	15	28.26	18.56
32	25	14.74	16.92
33	40	32.14	25.02
34	15	29.06	23.34
35	40	29.64	22.78
36	45	30.22	22.24
37	20	15.9	30.56
38	45	14.26	17.26
39	5	29.68	22.5
40	35	32.72	17.94
41	15	14.8	16.6
42	10	15.46	30.44
43	35	14.84	17.24
44	30	16.68	30.48
45	5	14.16	16
46	25	28.64	17.72
47	20	33.72	25.76
48	30	31.96	24.14
49	45	33.12	19.32
50	20	28.1	18.52
51	40	15.44	30.68
52	40	29.88	17.96
53	45	34.34	19.16
54	10	30.76	22.02
55	45	16.38	30.78
56	20	14.98	17.44
57	10	33.96	18.52
58	30	15.02	17.9
59	5	30.56	22.56
60	45	33.28	19.46
61	5	33.26	23.8
62	10	14.64	17.14
63	25	14.32	17.68
64	10	29.96	22
65	5	14.62	17.5
66	15	34.36	18.42
67	5	14.96	17.76
68	5	16.24	29.32
69	40	32.64	18.5
70	15	15.22	17.54
71	15	32.16	25
72	45	33.78	24.48
73	20	30	23.3
74	5	14.86	16.88
75	20	30.42	22.24
76	35	30.36	23.22
77	10	29.34	18.42
78	5	15.88	29.74
79	20	28.96	22.76
80	5	33.04	18.3
81	10	34.16	18.74
82	45	29.62	22.78
83	10	28.48	18.3
84	35	16.12	30.88
85	10	14.66	17.7
86	45	14.62	16.02
87	15	14.64	17.54
88	45	33.42	19.04
89	45	16.8	30.5
90	20	29.26	22.54
91	15	15.52	30.8
92	20	32.36	23.92
93	10	34.38	17.88
94	40	14.76	16.38
95	45	14.98	17.56
96	40	32.1	25.04
97	10	32.26	24.22
98	35	15.98	30.42
99	15	15.72	29.24
100	40	33.6	25.44
101	30	28.84	18.3
102	30	33.52	19.4
103	20	15	17.22
104	30	31.96	24.98
105	30	14.94	17.1
106	30	32.58	24.48
107	10	16.48	30
108	30	32.96	25.42
109	40	29.24	18.66
110	40	16.84	29.58
111	35	16.18	30.44
112	20	28.54	19.4
113	40	33.14	25.4
114	25	29.64	22.28
115	10	14.24	16.34
116	5	32.74	19.52
117	15	29.86	17.76
118	45	29.68	23.22
119	20	32.88	25.48
120	25	14.34	16.62
121	30	16.76	29.74
122	45	32.54	25.7
123	35	30.18	22.64
124	5	14.28	17.22
125	20	32.98	19.24
126	35	30.74	23.2
127	20	28.94	19.06
128	5	16.1	30.1
129	40	14.06	16.8
130	25	30.38	22.74
131	5	16.94	29.42
132	20	29.44	22.38
133	10	33.32	19.32
134	20	15.1	17.94
135	30	30.8	22.78
136	30	32.32	24.98
137	20	28.4	19.34
138	45	33.42	18.32
139	40	32.06	23.9
140	25	32.8	24.16
141	40	32.58	24.68
142	30	33.14	18.14
143	40	29.28	23.82
144	15	33.44	19.58
145	25	32.4	24.16
146	15	28.24	18.74
147	35	15.62	30.34
148	25	15.64	29.68
149	25	15.22	17.08
150	10	33.62	25.06

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
