mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
129	1	8	20	100	2740	1200	500	6	53	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	2740	3200	6	260	26	4	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	5	210	15	29	0.25	0.05
2	900	8	220	11	18	0.1	0.08
3	1000	8	210	16	15	0.15	0.09
4	800	7	210	27	22	0.25	0.09
5	900	6	220	33	16	0.25	0.05
6	1000	6	200	29	27	0.15	0.06
7	1100	6	230	17	19	0.25	0.09
8	900	7	200	16	21	0.2	0.08

No.	x-cor	y-cor
1	19.7	14.6
2	29.6	13.7
3	33.5	17.9
4	9.2	10.4
5	18.8	11.3
6	7.1	26
7	7.1	13.7
8	21.5	31.4
9	14	7.1
10	13.4	24.2
11	14.9	17.9
12	26.6	9.5
13	10.4	30.5
14	31.7	15.8
15	22.1	11
16	23.3	32.3
17	26.3	32.6
18	13.7	17
19	31.7	27.5
20	19.4	5.6

No.	cdemand	x-cor	y-cor
1	25	19.5	14.16
2	35	32.12	26.68
3	5	19.82	15.2
4	20	27.18	32.04
5	30	26	32.06
6	15	14.08	24.3
7	30	31.5	27.46
8	35	26.34	33.16
9	30	15.2	18.12
10	40	20.54	31.64
11	45	31.78	28.22
12	20	28.64	14.22
13	10	14.6	16.52
14	10	25.72	32
15	25	15.1	17.8
16	20	31.16	16.34
17	45	31.2	27.36
18	40	26.64	31.96
19	25	31.62	16.3
20	45	21.34	31.92
21	5	30.52	14.42
22	40	31.2	14.8
23	5	31.98	15.82
24	5	29.46	14.02
25	45	19.64	14.62
26	40	24.1	33.26
27	30	19.74	14.14
28	25	20.36	15.26
29	10	19.54	15.38
30	40	20.62	30.86
31	40	14.14	23.6
32	15	14.34	17.86
33	40	15.04	17.82
34	10	14.08	24
35	35	14.16	16.84
36	20	14.1	24.3
37	45	14.66	17.98
38	45	14.88	17.38
39	20	32.6	28.1
40	40	33.4	18.28
41	40	23.86	32.32
42	35	20.66	15.2
43	45	15.7	17.26
44	20	14.64	17.26
45	40	28.94	14.48
46	20	15.36	18.4
47	30	22.8	32.94
48	45	30.24	14.38
49	5	25.78	32.04
50	35	22.3	30.58
51	45	20.02	14.72
52	40	31.34	15.02
53	35	18.8	15.12
54	40	31.3	15.82
55	45	31.06	15.66
56	30	30.52	14.2
57	40	20.34	14.06
58	35	33.68	18.16
59	5	19.06	14.7
60	20	14.08	23.58
61	20	14.12	16.84
62	20	31.32	26.6
63	20	32.54	27.32
64	20	31.14	28.4
65	45	25.3	31.92
66	20	26.44	32.02
67	20	34.36	18.02
68	25	30	14.48
69	40	27.08	32.94
70	20	32.5	15.74
71	35	14.14	17.24
72	5	29.12	14.24
73	25	32.76	18.58
74	5	29.02	14.02
75	30	31.66	27.74
76	30	22.56	32.74
77	35	24.14	33.06
78	10	22.3	30.86
79	30	31.12	26.56
80	40	20.5	32.02
81	5	14.26	24.42
82	40	14.32	17.72
83	25	14.02	24.62
84	30	14.36	17.46
85	30	30.08	14.18
86	35	30.78	28.28
87	15	32.52	16.78
88	25	30.04	14.1
89	15	31.24	15.08
90	20	21.7	30.5
91	20	23.92	32.22
92	45	24.26	33.12
93	45	26.6	32.62
94	30	14.08	17.04
95	20	21.16	31.44
96	20	26.48	32.42
97	30	23.56	31.54
98	5	20.68	15.1
99	30	14.14	24.86
100	5	26.9	32.96

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
