mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
179	1	8	20	150	3835	1200	500	8	54	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	3835	3600	8	300	32	10	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	5	200	13	24	0.2	0.09
2	900	6	230	21	32	0.1	0.09
3	1000	6	230	30	15	0.1	0.09
4	800	6	210	29	11	0.15	0.05
5	800	8	200	12	18	0.25	0.06
6	900	8	210	8	19	0.15	0.09
7	1100	7	220	30	24	0.15	0.05
8	1100	8	220	24	28	0.2	0.09

No.	x-cor	y-cor
1	8.9	17.6
2	18.8	33.2
3	10.1	22.1
4	26.6	8
5	7.4	17.9
6	28.7	16.4
7	13.1	7.1
8	13.7	17.3
9	15.5	8.3
10	8.3	28.1
11	8.6	24.8
12	20.9	16.4
13	6.2	22.7
14	16.1	15.5
15	34.1	21.2
16	16.7	15.8
17	27.5	20.6
18	23.3	6.2
19	18.8	11.6
20	24.5	9.5

No.	cdemand	x-cor	y-cor
1	5	18.44	32.56
2	15	18.78	34.08
3	20	20.14	16.96
4	5	29.02	15.78
5	45	28.44	16.86
6	5	17.34	16.6
7	45	28.28	17.16
8	45	16.22	15.32
9	15	16.22	15.64
10	30	33.14	21.04
11	20	33.12	21.1
12	5	28.34	16.74
13	35	15.68	15.9
14	45	15.3	15.88
15	30	29.58	16.26
16	15	14	17
17	35	18.16	34.12
18	10	15.68	15
19	15	14.04	17.62
20	30	26.96	20.02
21	5	27.72	20.2
22	10	29.38	15.9
23	25	14.2	17.46
24	15	14.46	16.68
25	10	19.54	33.6
26	35	19.02	33.56
27	20	14.64	16.42
28	5	21.24	16.32
29	45	28.02	19.74
30	25	17.22	16.04
31	10	34.8	22.14
32	45	15.62	15.16
33	25	15.84	16.18
34	25	15.28	15.44
35	30	26.7	21.24
36	15	15.64	15.56
37	20	17.36	15.06
38	45	29.34	16.78
39	40	19.48	33.64
40	25	16.18	16.76
41	25	26.5	20.62
42	15	14.14	17.64
43	10	33.88	20.58
44	15	29.32	17.06
45	15	14.16	17.28
46	45	29	15.64
47	45	29.2	17
48	30	21.72	16.34
49	25	14.14	17.12
50	15	16.76	16.42
51	10	33.92	21.22
52	20	18.3	33.24
53	25	14.48	17.26
54	20	34.54	21.62
55	15	21.44	15.76
56	15	15.88	14.64
57	35	33.6	20.52
58	45	16.04	15.12
59	10	28.92	15.48
60	35	15.74	16.74
61	25	29.32	15.78
62	40	18.22	33.8
63	40	16.6	15.86
64	30	18.62	32.74
65	40	27.8	21.4
66	25	28.34	21.26
67	10	26.98	20.88
68	15	28.88	17
69	45	16.96	15.66
70	35	16.78	15.96
71	45	26.64	19.6
72	10	16.88	15.24
73	30	29.04	16.7
74	15	16.8	15.9
75	40	20.94	17.24
76	15	14.36	16.94
77	5	19.94	15.7
78	5	16.28	16.16
79	5	29.42	16.78
80	40	16.54	15.62
81	45	16.58	14.64
82	45	15.96	15.28
83	25	15.18	15.24
84	30	17.94	33.72
85	35	34.8	20.32
86	45	18.86	32.4
87	45	16.24	14.52
88	35	21.76	15.82
89	35	17.26	14.84
90	20	14.12	16.92
91	40	19.04	32.62
92	20	14.32	16.9
93	5	16.66	14.82
94	10	18.34	32.9
95	35	18.62	32.3
96	10	33.4	20.84
97	10	27	20.2
98	45	14.56	17.36
99	25	21.82	17.24
100	20	20.46	17.02
101	30	14.46	18.16
102	20	14.46	17.02
103	15	33.96	22.14
104	30	14.26	18.08
105	15	26.68	21.26
106	40	20.34	16.84
107	45	14.38	17.66
108	15	18.28	33.54
109	15	14.2	18.08
110	25	16.52	15.34
111	35	29.38	16.64
112	45	20.3	15.76
113	20	28.18	19.78
114	40	15.42	16.14
115	40	16.82	14.84
116	10	21.14	16.76
117	25	16.94	16.34
118	10	21.32	16.9
119	40	28.72	15.94
120	15	18	33.18
121	20	16.44	16.5
122	45	15.26	15.92
123	45	14.14	16.9
124	10	17.1	14.88
125	10	15.52	16.18
126	45	19.36	33.44
127	30	33.84	21.56
128	5	15.52	15.36
129	30	27.22	21.02
130	20	16.04	16.02
131	35	21.6	16.26
132	25	34.36	21.96
133	40	15.98	15.34
134	5	19.58	33.38
135	10	17.02	15.72
136	40	16.34	16.16
137	35	17.46	15.26
138	30	18.32	33.02
139	5	21.22	15.9
140	35	14.56	17.66
141	25	19.72	33.76
142	40	27.52	20.96
143	10	27.32	21.56
144	45	21.06	16.14
145	30	34.28	21.74
146	40	17.42	15.32
147	15	14.36	17.24
148	5	20.1	16.46
149	20	18.9	32.94
150	45	16.26	16.4

1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
