mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
184	2	12	20	150	3930	1200	500	10	74	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1875	3600	5	250	34	22	
2	2055	3000	5	300	26	34	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	7	210	21	31	0.2	0.09
2	900	8	200	30	25	0.1	0.05
3	1000	5	230	8	24	0.15	0.06
4	800	5	210	11	26	0.2	0.06
5	1100	7	220	32	19	0.1	0.06
6	900	6	230	33	21	0.1	0.09
7	1100	5	220	31	17	0.15	0.06
8	900	7	200	32	16	0.1	0.06
9	900	5	220	16	14	0.1	0.08
10	1000	8	200	25	27	0.25	0.06
11	800	5	200	7	17	0.1	0.09
12	800	6	210	14	24	0.25	0.08

No.	x-cor	y-cor
1	8.9	29.6
2	25.1	11.3
3	15.5	34.1
4	14.6	33.5
5	21.8	10.4
6	24.8	24.2
7	26.3	23.9
8	19.1	14.9
9	17.9	8.3
10	26	25.7
11	12.5	14.3
12	9.5	11.3
13	32.6	23.6
14	12.2	17.3
15	19.4	26.3
16	26.6	8.9
17	20.3	26.3
18	18.8	32.3
19	31.1	16.4
20	21.5	27.8

No.	cdemand	x-cor	y-cor
1	30	25.52	25.76
2	45	20.66	25.7
3	30	24.06	24.24
4	30	14.5	33.18
5	10	32.06	24.04
6	15	18.02	32.86
7	30	25.4	24.98
8	40	33.06	22.6
9	20	18.12	15.02
10	20	18.7	27.2
11	10	27.06	24.74
12	40	24.18	25.02
13	10	16.02	33.16
14	35	32.64	23.12
15	40	19.38	14.36
16	40	26.72	26.66
17	10	19.74	31.66
18	35	18.1	32.04
19	25	20	25.44
20	10	19.52	25.68
21	35	26.4	23.92
22	30	25.5	24.48
23	45	21.28	27.06
24	5	32.02	17
25	25	20.14	26.8
26	20	19.52	32.94
27	15	20.94	25.38
28	40	25.56	25.1
29	15	25.54	23.7
30	5	14.92	33.04
31	5	19.42	15.3
32	40	20.32	27.16
33	20	19.52	15.7
34	15	26.4	24.7
35	35	14.54	33.74
36	30	25.68	23.4
37	15	24.86	24.76
38	5	18.96	33.18
39	20	14.8	33.24
40	30	21.06	25.64
41	25	14.1	32.9
42	5	33.36	24.46
43	40	26.4	24.94
44	45	26.72	25
45	25	15	32.92
46	45	26.68	24.82
47	10	20.02	26.2
48	20	32.52	23.76
49	30	24.92	24.98
50	35	30.7	17.24
51	30	19.96	27.26
52	30	31.2	16.94
53	40	18.7	26.88
54	20	14.24	33.34
55	5	14.86	33.7
56	35	19.9	14.72
57	10	14.38	33.84
58	40	18.74	25.34
59	40	18.22	15.74
60	45	32.54	23.22
61	45	16.4	34.38
62	35	30.18	16.52
63	5	25.9	25.74
64	35	31.06	15.52
65	30	20.28	25.82
66	10	32.38	22.96
67	10	33.58	23.9
68	25	32.34	23.92
69	25	19.12	26.32
70	15	20.24	27.2
71	40	25.06	26.56
72	15	16.1	33.96
73	5	18.94	31.56
74	35	15.3	33.42
75	40	14.98	33.72
76	10	27.02	22.94
77	15	21.06	25.98
78	25	25.32	24.22
79	30	30.7	15.46
80	40	16.44	34.4
81	20	24.72	24.68
82	45	14.24	32.7
83	25	26.08	24.58
84	15	19.44	14.42
85	45	20.06	25.6
86	20	18.56	27.28
87	40	19.1	26.62
88	35	23.98	23.62
89	25	19.84	25.72
90	45	18.42	27.1
91	20	18.6	25.84
92	20	25.32	23.4
93	35	20.04	26.28
94	35	19.26	25.74
95	25	24.04	24.94
96	15	24.56	25.04
97	5	15.58	33.6
98	15	19.52	31.66
99	20	18.04	32.18
100	35	26.38	23.12
101	25	32.18	22.84
102	35	19.4	14.08
103	15	26.24	23.76
104	30	24.16	24.08
105	35	15.66	33.96
106	10	33.12	23.02
107	45	20.16	25.88
108	20	18.26	15.74
109	35	32.12	24.42
110	30	16.34	33.92
111	15	16.44	33.3
112	15	19.8	27.06
113	5	19.5	32.86
114	10	19.82	15.68
115	45	33.36	22.76
116	40	19	31.82
117	35	19.48	33
118	10	18.96	14.5
119	30	26.22	25.26
120	30	19.72	27.14
121	35	31.2	15.46
122	30	16.14	34.14
123	30	18.32	32.46
124	35	18.94	32.34
125	35	20.22	26.06
126	45	18	32.44
127	5	25.3	23.12
128	30	25.86	25.22
129	45	19.22	15.36
130	25	33.14	23.08
131	35	19.84	27.28
132	25	20.26	25.38
133	15	14.82	33.38
134	45	19.24	25.66
135	5	20.18	25.64
136	5	19.66	26.22
137	30	25.56	25.12
138	35	19.48	26.08
139	45	15.36	33.78
140	10	27.28	24.7
141	25	15.44	32.94
142	45	24.02	24.58
143	30	31.36	16
144	5	18.72	31.38
145	15	15.02	32.84
146	30	16.2	33.2
147	10	32.18	23.52
148	40	26.72	24.72
149	25	14.04	33.72
150	45	25.86	25.62

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
