mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
234	2	12	20	200	4960	1200	500	11	78	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	2635	3200	6	260	6	30	
2	2325	3400	5	260	34	30	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	230	21	25	0.25	0.06
2	900	5	200	17	21	0.2	0.06
3	1100	5	230	30	26	0.15	0.05
4	900	8	230	18	14	0.25	0.06
5	900	8	200	17	26	0.25	0.05
6	1100	8	230	28	25	0.2	0.05
7	1000	5	230	25	16	0.2	0.09
8	1100	6	230	13	18	0.2	0.06
9	1000	5	210	11	24	0.2	0.08
10	1100	8	220	33	19	0.25	0.06
11	800	5	210	13	32	0.1	0.05
12	900	8	200	8	15	0.1	0.05

No.	x-cor	y-cor
1	25.7	14.3
2	20.9	14.6
3	5.6	18.2
4	24.2	11.3
5	5.3	18.2
6	27.2	25.7
7	24.5	7.7
8	8.6	14.6
9	10.7	19.7
10	20.3	18.2
11	28.4	16.4
12	11.6	11.6
13	29.9	8.9
14	30.5	16.1
15	23.9	12.8
16	34.7	17.9
17	31.4	28.7
18	15.5	32.3
19	7.7	12.2
20	26.9	28.4

No.	cdemand	x-cor	y-cor
1	30	26.48	14.36
2	25	19.48	19.06
3	20	15.88	32.32
4	40	27.92	15.96
5	45	20.98	15.52
6	5	16.4	31.74
7	5	32.16	28.1
8	35	30.64	16.36
9	45	25.76	14.62
10	5	19.98	14.58
11	20	34.54	17
12	10	31.18	16.8
13	35	16.3	31.98
14	10	34.64	17.02
15	35	16.02	31.78
16	45	33.72	17.84
17	20	20.06	18.7
18	20	27.7	16.56
19	15	27.68	25.02
20	30	26.64	14.9
21	20	31.2	15.98
22	5	25.28	15.2
23	15	28	24.96
24	20	20.6	18.16
25	40	31.14	16.22
26	5	21.36	14.88
27	15	34.86	18.78
28	10	20.6	18.62
29	10	15.52	31.92
30	35	19.82	18.58
31	35	27.16	26.68
32	25	21.68	14.06
33	45	27.38	26.08
34	25	30.9	16.28
35	25	31.06	16.32
36	45	28.06	16.24
37	10	30.42	17.04
38	35	33.86	18.34
39	35	25.24	14.34
40	45	31.16	15.6
41	20	27.98	26.36
42	10	34.66	17.72
43	40	25.96	14.06
44	10	25.48	15.06
45	20	25.22	14.7
46	5	25.88	15.26
47	20	32.02	28.44
48	5	14.96	31.92
49	15	21.1	17.76
50	20	21.76	15.42
51	45	16.38	32.76
52	25	26.52	14.1
53	30	24.7	15.28
54	20	33.86	17.4
55	45	25.92	14.62
56	20	34.84	18.44
57	35	21	18.32
58	40	26.7	25.16
59	25	19.7	18.04
60	30	19.82	19.06
61	40	26.14	14.1
62	25	15.52	32.96
63	40	26.78	24.88
64	5	19.68	18.72
65	25	26.6	24.7
66	15	26.58	25.26
67	20	16.02	32.02
68	25	24.7	14.72
69	30	20.8	18.32
70	45	15.3	33
71	10	30.98	16.96
72	40	27.54	26.36
73	35	20.2	19.02
74	35	28.86	15.92
75	25	30.52	16.72
76	25	34.18	17.18
77	35	30.28	16.74
78	45	29.02	15.46
79	35	19.46	17.96
80	20	30.14	17.04
81	25	26.4	25.56
82	25	28.14	25.52
83	35	20.94	14.26
84	20	34.02	17.18
85	30	31.48	16.84
86	5	31.28	29.48
87	35	29.22	16.42
88	5	21.8	14.32
89	20	15.34	32.76
90	30	25.1	14.62
91	5	30.58	16.7
92	15	26.98	25.42
93	45	32.12	28.44
94	30	29.22	15.5
95	40	33.7	18.86
96	5	26.26	25.16
97	5	28.54	16.86
98	45	25.98	14.82
99	35	21.22	18.08
100	20	26.44	25.46
101	20	26.44	26.36
102	30	30	17.06
103	25	28.34	16.18
104	20	29.34	15.48
105	45	29.62	15.3
106	15	28.82	16.08
107	40	34.58	18.04
108	15	27.18	26.26
109	20	20.94	14.92
110	45	20.08	17.72
111	25	15	31.3
112	30	21	14.54
113	30	28.18	17.14
114	15	20.12	17.96
115	35	14.78	31.78
116	15	30.6	28.92
117	35	16.44	32.44
118	35	20.88	14.36
119	5	31.1	15.38
120	40	27.28	25.32
121	45	28.58	17.16
122	30	20.32	18.94
123	10	15.86	32.76
124	30	34.58	18.18
125	15	30.82	29.44
126	5	28.3	17.16
127	10	25.5	14.32
128	40	26.3	26.2
129	15	33.96	17.38
130	10	24.76	14.14
131	20	24.78	14.32
132	15	34.94	18.72
133	20	33.78	17.14
134	40	26.92	24.94
135	20	26.56	14.46
136	25	16.46	32.56
137	15	20.8	19.04
138	45	28.66	16.8
139	5	32.14	27.74
140	10	19.3	17.62
141	35	29.02	16.26
142	5	15.92	33.14
143	10	31.88	28.6
144	20	25.04	14.4
145	5	19.96	15.1
146	20	26.42	24.92
147	30	25.68	14.48
148	20	27.3	26.24
149	25	31.84	28.68
150	10	26.64	14.84
151	20	19.86	17.56
152	45	15.62	32.5
153	25	33.78	16.98
154	40	34.2	18.54
155	30	14.96	32.98
156	45	34.02	18.18
157	35	31.84	28.74
158	30	27.92	26.08
159	35	25.94	14.42
160	5	15	31.92
161	15	27.42	17.32
162	10	31.86	29.06
163	35	20.62	14.52
164	5	20.3	14.3
165	5	29.16	16.98
166	40	14.72	32.46
167	45	29.1	15.54
168	30	34.1	17.56
169	10	19.42	18.96
170	5	34.72	18.64
171	25	26.2	26.12
172	45	20.28	19.16
173	30	19.36	18.94
174	10	15.6	33.12
175	15	26.34	26.02
176	15	27.96	26.26
177	45	15.6	31.68
178	30	33.88	18.34
179	15	29.78	16.82
180	15	26.5	14.6
181	45	20.48	14.88
182	5	25.48	14.16
183	45	28.02	26.38
184	5	26.58	14.54
185	40	15.54	32.2
186	40	27.16	26.54
187	45	33.9	17.4
188	30	20.9	17.96
189	20	28.38	17
190	30	21.52	14.28
191	40	27.58	16.66
192	25	27.5	26.62
193	35	26.54	25.3
194	15	25.8	15
195	15	33.92	17.82
196	35	31.8	29.1
197	15	16.34	31.94
198	25	34.36	17
199	5	16	32.1
200	20	16.3	32.28

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
