mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
194	2	12	30	150	3510	1200	500	9	79	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1810	3000	5	280	24	4	
2	1700	3200	4	250	32	36	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	6	220	14	13	0.2	0.08
2	1100	8	200	13	26	0.25	0.06
3	1100	5	230	27	31	0.25	0.08
4	800	8	230	23	11	0.1	0.06
5	1000	6	210	9	16	0.1	0.09
6	1100	5	210	24	19	0.2	0.06
7	1100	6	200	18	30	0.2	0.05
8	900	8	230	25	25	0.1	0.08
9	1000	8	210	33	16	0.2	0.06
10	1000	7	210	8	22	0.1	0.06
11	800	6	230	30	27	0.25	0.06
12	1100	6	230	8	24	0.1	0.05

No.	x-cor	y-cor
1	15.5	33.5
2	22.4	20.9
3	23	7.1
4	28.7	31.4
5	34.4	23
6	32	23.9
7	24.2	20.9
8	10.4	9.5
9	6.8	19.4
10	21.5	21.2
11	29.9	15.8
12	19.1	24.2
13	14	26.9
14	33.2	19.1
15	24.8	29.3
16	9.5	25.1
17	12.2	18.2
18	28.1	23
19	20.3	22.1
20	23.3	23.9
21	10.4	30.2
22	9.5	24.8
23	34.7	19.1
24	14.6	29.6
25	13.1	28.7
26	15.2	32.6
27	16.4	10.1
28	15.2	20.3
29	29.3	21.5
30	28.4	13.4

No.	cdemand	x-cor	y-cor
1	10	27.3	23.26
2	15	30.28	21.38
3	40	14.06	27.7
4	30	34	22.48
5	25	23.84	20.86
6	40	14.52	33.08
7	5	14.62	20.74
8	10	23.56	23.18
9	20	29.72	16.34
10	20	27.76	30.56
11	10	23.34	22.98
12	15	34.88	18.6
13	30	29.08	31.2
14	35	30.14	22.02
15	45	34.16	22.88
16	15	15.28	32.98
17	30	21.74	20.2
18	15	14.04	28.94
19	25	15.14	30.02
20	5	29.1	15.36
21	30	14.38	27.76
22	15	23.9	28.48
23	10	20.68	22.26
24	40	14.08	28.74
25	25	28.48	31.92
26	15	14.5	27.04
27	30	25.3	29.24
28	10	14.4	26.46
29	30	23.38	21.1
30	10	20.6	20.62
31	5	28.94	15.12
32	35	32.68	20.04
33	10	31.38	23.86
34	40	34.22	19.36
35	15	19.54	24.9
36	20	32.7	19.92
37	15	22.82	23.06
38	35	14.08	27.7
39	15	33.7	18.34
40	15	14.88	33.66
41	30	30.1	21.7
42	5	14.08	28.7
43	30	23.64	22.96
44	5	14.18	27.5
45	25	16.04	33.4
46	15	22.24	21.54
47	35	16.16	20.14
48	45	22.72	23.54
49	45	15.1	29.26
50	15	21.2	21.6
51	5	18.48	24.3
52	25	14.9	26.84
53	5	28.86	21.08
54	20	20.22	21.64
55	10	14.56	21.18
56	40	15.9	21.04
57	10	33.76	22.66
58	35	20.08	23.98
59	5	27.22	22.66
60	5	30.14	21.94
61	25	24.9	20.12
62	5	34.6	19.86
63	5	28.32	23.18
64	35	25.06	20.46
65	5	16.1	19.98
66	20	14.62	32.18
