mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
244	2	12	30	200	4935	1200	500	12	73	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	2435	3200	6	300	22	2	
2	2500	3600	6	250	32	36	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	5	220	12	23	0.2	0.08
2	900	5	200	23	9	0.15	0.09
3	800	8	230	23	7	0.2	0.05
4	1000	7	210	30	19	0.2	0.06
5	900	5	200	8	24	0.1	0.05
6	800	7	210	21	32	0.2	0.05
7	1000	6	230	30	23	0.1	0.05
8	1100	7	230	17	30	0.2	0.06
9	800	7	220	15	30	0.15	0.09
10	800	5	210	19	11	0.2	0.09
11	1000	5	220	11	13	0.2	0.09
12	900	6	200	12	26	0.2	0.06

No.	x-cor	y-cor
1	23	27.8
2	25.7	28.7
3	6.8	19.7
4	16.7	21.8
5	10.4	11.3
6	11.6	32.3
7	10.7	23.9
8	11.3	29
9	14	31.1
10	32.3	16.1
11	14.9	19.1
12	8	17
13	17.9	18.2
14	9.5	20.6
15	19.4	23.3
16	27.8	16.1
17	32	14.3
18	27.5	9.5
19	17.6	27.8
20	8	11.6
21	21.8	24.5
22	32	25.7
23	32	21.5
24	10.1	30.5
25	34.4	17
26	10.4	13.1
27	25.7	25.7
28	9.2	19.7
29	19.7	6.8
30	7.1	17.9

No.	cdemand	x-cor	y-cor
1	10	31.18	22.04
2	45	33.12	15.28
3	35	14.48	31.52
4	35	14	19.04
5	45	28.38	15.64
6	25	24.9	28.54
7	10	14.12	31.38
8	25	22.62	24.96
9	35	17.28	19.16
10	15	31.06	26.56
11	15	17.1	21.92
12	15	28.62	15.48
13	20	26.54	25.9
14	30	16.4	21.36
15	35	21.22	24.56
16	30	19.84	22.32
17	10	26.16	29.32
18	25	14.18	19.9
19	20	14.92	19.18
20	5	32.36	20.64
21	30	17.02	22.4
22	45	16.96	17.82
23	10	34.06	17.18
24	35	15.46	19.7
25	10	17.52	17.38
26	30	18.38	28.68
27	35	32.24	21.38
28	10	19.72	24.22
29	45	17.96	18.98
30	10	31.26	25.4
31	20	32.04	15.5
32	10	25.1	25.72
33	25	18.82	24.18
34	25	17.52	21.92
35	10	26.62	27.76
36	5	21.96	24.06
37	30	15.26	18.34
38	45	27.44	15.58
39	45	16.94	28.38
40	5	31.34	25.78
41	45	26.22	24.84
42	25	31.86	25.54
43	35	14.06	30.96
44	40	22.72	27.68
45	45	18.76	23.52
46	35	18.56	17.28
47	15	22.46	27.2
48	25	31.4	14.14
49	20	32.56	15.06
50	35	32.7	24.72
51	10	18.64	18.04
52	25	23.66	27.62
53	5	14.26	30.54
54	15	22.26	25.48
55	45	14.72	19.6
56	5	17.4	18.28
57	25	22.14	23.62
58	25	33	15.42
59	35	34.8	17.6
60	45	26.16	29.1
61	40	32.62	15.68
62	30	32.62	20.52
63	5	14.98	18.12
64	25	19.08	23.18
65	45	32.28	17.04
