mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
116	2	4	10	100	2460	1200	500	8	28	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	1215	3400	4	260	2	16	
2	1245	3400	4	250	22	2	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	8	230	18	21	0.15	0.05
2	800	6	230	17	13	0.15	0.08
3	900	6	210	13	11	0.2	0.06
4	800	8	210	31	21	0.1	0.05

No.	x-cor	y-cor
1	16.4	25.7
2	5.3	22.4
3	25.7	27.2
4	6.5	21.2
5	19.1	16.7
6	12.5	11.3
7	10.1	27.8
8	25.4	6.8
9	22.4	14
10	32.6	13.1

No.	cdemand	x-cor	y-cor
1	45	18.36	16.22
2	5	22.06	14.58
3	10	26.68	26.72
4	15	18.66	16.48
5	45	19.7	17.2
6	15	17.04	26.46
7	15	25.16	26.52
8	20	26.22	26.48
9	35	25.12	26.72
10	30	17.18	24.8
11	25	25.06	26.98
12	40	22.08	14.42
13	15	19.74	15.96
14	40	15.94	24.86
15	10	22.24	14.5
16	10	18.88	17.42
17	45	25.78	26.28
18	40	17.04	25.92
19	35	18.44	16.42
20	45	22.26	14.68
21	30	22.8	14.6
22	5	17.06	25.2
23	30	21.68	14.94
24	35	23.3	14.1
25	15	15.86	25.44
26	45	17.32	24.88
27	20	26.12	26.38
28	5	18.78	16.8
29	10	25	26.32
30	25	19.74	16.96
31	15	18.44	17.32
32	20	25.56	26.8
33	25	16.82	25.74
34	20	18.9	16.44
35	20	18.7	16.66
36	20	22.46	14.54
37	25	19.24	17.56
38	45	17	25.8
39	40	17.38	25.76
40	15	25.04	26.6
41	5	20.06	17.5
42	35	15.98	24.98
43	40	19.46	16.66
44	25	24.7	27.62
45	20	25.56	26.52
46	40	25.5	28.06
47	5	22.12	14.72
48	35	19.84	16.58
49	10	17.18	26.4
50	5	22.12	14.64
51	45	25.1	28.16
52	40	22.8	14.52
53	30	18.4	16.48
54	25	19.98	16.52
55	35	18.92	16
56	35	26.6	27.3
57	45	22.88	14.44
58	20	16.86	25.14
59	15	19.36	17.32
60	15	15.94	25.36
61	20	16.88	25.42
62	10	16.8	26.48
63	25	26.32	27.4
64	5	21.82	14.92
65	5	16.92	25.04
66	5	16.22	26.6
67	15	15.4	25.34
68	15	16.78	26.14
69	35	16.14	25.6
70	15	21.84	14.2
71	40	22.08	14.52
72	45	17.08	25.6
73	25	22.02	14.84
74	15	18.48	17.16
75	20	22.08	14.06
76	45	21.42	14.1
77	40	24.78	27.68
78	15	26.26	27.52
79	10	16.86	26.48
80	10	18.84	16.1
81	20	19.62	16.18
82	20	16.32	24.84
83	15	24.86	27.44
84	5	25	27.88
85	35	19.84	15.82
86	30	21.8	14.44
87	30	18.64	17.48
88	5	21.42	14.62
89	10	20.04	16.18
90	35	23.28	14.62
91	45	22.5	14.3
92	40	24.94	26.42
93	40	19.96	17.58
94	45	26.24	26.38
95	5	18.5	16.44
96	45	18.52	17.46
97	5	18.94	16.68
98	45	26.02	26.88
99	15	22.36	14.94
100	25	24.82	26.38

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
