mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
66	2	4	10	50	1060	1200	500	4	20	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	510	3200	2	250	4	32	
2	550	3600	2	260	32	10	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	5	230	16	23	0.15	0.06
2	1000	5	210	25	17	0.2	0.08
3	1100	5	230	28	17	0.25	0.06
4	900	5	230	8	25	0.2	0.05

No.	x-cor	y-cor
1	27.2	16.1
2	17.6	22.7
3	31.1	28.7
4	21.5	13.1
5	17.9	22.1
6	6.2	15.5
7	23.9	19.4
8	20.6	11.3
9	15.2	30.8
10	11.3	14

No.	cdemand	x-cor	y-cor
1	5	26.56	16.18
2	20	30.86	27.84
3	15	24.02	19.6
4	10	17.32	23.46
5	20	17.78	22.72
6	45	15.78	31.32
7	30	26.8	15.2
8	10	17.58	21.8
9	25	15.76	31.6
10	35	22.28	14
11	10	16.92	23
12	10	21.88	14
13	35	17	22.62
14	30	31.3	27.88
15	20	23.92	19.98
16	15	18.48	23.24
17	20	24.28	18.88
18	30	18.38	22.96
19	25	17.74	21.32
20	5	18.74	22.9
21	15	30.5	28.16
22	5	27.82	16.72
23	30	17.5	22.4
24	45	17.62	21.36
25	30	16.68	23.3
26	30	20.66	14.08
27	15	26.32	15.84
28	30	18.48	21.38
29	5	30.76	28.42
30	30	22.38	14
31	15	21.66	14.02
32	25	15	31.52
33	45	22.96	20.28
34	30	30.9	28.36
35	20	18.4	22.3
36	35	21.54	14.02
37	20	27.3	15.92
38	5	30.96	27.82
39	10	31.98	27.98
40	25	20.84	14.06
41	35	22.2	14.08
42	20	16.74	22.4
43	15	15.76	30.68
44	10	32	28.28
45	20	18.02	22.12
46	10	20.84	14.08
47	20	17.2	22.96
48	15	31.64	29.4
49	10	22.06	14.04
50	25	31.28	27.8

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
