mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
126	2	4	20	100	2435	1200	500	7	29	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	1260	3600	4	260	22	36	
2	1175	3000	3	260	36	16	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	6	200	25	14	0.2	0.08
2	900	7	210	31	19	0.15	0.05
3	1100	8	220	31	25	0.2	0.05
4	1000	8	210	13	10	0.15	0.05

No.	x-cor	y-cor
1	33.5	14.9
2	24.8	33.8
3	7.7	24.8
4	14	33.5
5	34.1	20.9
6	12.2	25.7
7	27.5	13.4
8	14.9	15.2
9	8.3	16.1
10	34.4	17.9
11	16.7	14.3
12	7.1	16.4
13	12.5	8
14	15.8	13.7
15	14.6	9.5
16	14.9	12.5
17	17.3	23
18	15.5	30.2
19	19.1	31.7
20	17.3	26.3

No.	cdemand	x-cor	y-cor
1	40	32.58	14.48
2	15	14.46	33.78
3	20	34.96	20.8
4	20	16.12	14.8
5	5	33.22	14.96
6	35	16.04	14.42
7	15	15.62	14.16
8	10	15.18	29.74
9	5	17.08	22.2
10	5	16.68	14.24
11	15	15.92	14.56
12	35	27.46	14.34
13	35	15.32	15.9
14	5	24.24	33.62
15	10	16.96	14.74
16	15	34.32	18.88
17	10	24.42	33.58
18	30	24.28	34.16
19	25	14.74	33.26
20	15	24	34.16
21	5	17.74	22.72
22	25	25.76	33.62
23	25	25.72	33.58
24	30	33.74	21.68
25	20	33.82	17.3
26	15	19.36	31.36
27	40	14.24	16.06
28	25	16.04	15.12
29	45	19.16	31.48
30	10	14.12	32.62
31	20	14.84	32.58
32	15	17.48	23.84
33	45	14.04	14.34
34	15	27.14	14.24
35	45	17.5	14.64
36	45	18.66	32.26
37	25	34.76	17.76
38	15	19.5	31.64
39	40	34.82	17.7
40	5	25.24	32.96
41	35	15.1	14
42	15	17.06	22.24
43	15	14.08	15.92
44	45	16.5	14.46
45	25	17.72	23.24
46	35	14.94	32.7
47	45	34.92	18.52
48	15	25.62	33.18
49	5	17.36	23.24
50	45	16.32	22.78
51	45	18.58	31.38
52	35	15.08	14.24
53	45	33.96	16.9
54	10	17.46	15.24
55	10	34.16	15.6
56	15	14.44	32.86
57	45	19.82	32.46
58	40	18.24	31.28
59	35	14.32	33.12
60	45	14.14	33.36
61	30	33.58	17.42
62	5	14.84	14.04
63	45	24.18	33.02
64	45	15.58	14.56
65	35	18.18	23.42
66	5	33.56	20.84
67	10	20.06	32.62
68	5	17.38	23.62
69	10	33.78	15.52
70	25	16.4	14.76
71	15	14.5	16.02
72	40	16.4	14.22
73	15	16.88	14.92
74	45	33.76	14.2
75	35	15.74	30.06
76	30	25.26	33.86
77	20	14.92	15.74
78	20	16.28	29.82
79	40	16.34	23.24
80	30	14.8	14.26
81	30	34.48	18.1
82	30	24.3	33.24
83	20	16.34	29.86
84	20	15.26	14.22
85	10	33.76	21.2
86	10	33.24	20.88
87	15	16.46	23.82
88	20	14.28	32.78
89	45	15.1	14.34
90	5	14.88	14.56
91	15	16.7	14.66
92	45	15.74	14.94
93	10	34.14	15.02
94	35	28.44	14.04
95	30	17.1	14.58
96	35	16.5	14.18
97	10	19.74	31.68
98	5	14.76	33.34
99	25	25.16	33.16
100	35	16.18	30.68

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
