mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
76	2	4	20	50	1270	1200	500	5	27	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	735	3000	3	250	10	10	
2	535	3400	2	280	4	26	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	6	230	28	15	0.1	0.09
2	1000	7	210	30	16	0.2	0.09
3	900	8	220	21	8	0.2	0.09
4	1000	6	210	7	22	0.1	0.09

No.	x-cor	y-cor
1	26.9	20.3
2	33.5	25.4
3	32.9	14.9
4	14.3	32.9
5	29.6	14
6	29.9	24.8
7	20.3	27.8
8	28.7	15.8
9	33.5	20.9
10	15.8	6.2
11	14	23
12	7.1	19.4
13	22.7	6.5
14	19.7	21.2
15	33.8	23
16	21.8	11.9
17	10.4	24.5
18	30.8	15.5
19	16.1	21.5
20	16.4	12.8

No.	cdemand	x-cor	y-cor
1	35	20.26	20.3
2	30	30.34	14.68
3	45	30.82	25.76
4	20	31.38	15.14
5	45	29.4	15.12
6	25	20.1	27.46
7	35	27.9	15.32
8	15	20.16	22.1
9	20	33.3	21.56
10	10	29.62	14.6
11	15	29.14	14.02
12	5	26.82	19.62
13	35	29.78	24.22
14	5	26	19.92
15	5	33.14	21.34
16	35	34.32	24.44
17	45	30.46	25.26
18	20	19.18	21.7
19	5	29.22	14.38
20	35	34.1	20.02
21	30	30	14.9
22	30	19.68	20.38
23	45	15.28	32.38
24	20	33.06	23.48
25	35	20.58	27.96
26	35	33.48	15.62
27	10	14.5	23.06
28	40	33.92	22.86
29	25	14.98	32.96
30	20	30.2	15.1
31	30	20.54	28.2
32	20	29.3	14.24
33	35	32.46	14.64
34	20	29.96	25.54
35	25	14.98	22.56
36	5	33.04	24.98
37	45	17.02	22.14
38	25	32.84	14.4
39	35	15.5	21.46
40	20	34.06	22.14
41	10	14.08	23.1
42	15	28.82	14.86
43	40	16.44	21.2
44	5	19.88	28.36
45	15	15	32.24
46	45	33.28	25.48
47	25	17	21.96
48	25	15.02	33.06
49	45	32.02	14.04
50	10	14.52	32.52

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
