mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
120	2	8	10	100	2470	1200	500	8	47	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	1245	3400	4	260	32	12	
2	1225	3000	4	280	32	34	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	200	32	26	0.15	0.08
2	1000	7	200	28	19	0.15	0.08
3	1000	5	210	29	18	0.2	0.08
4	1000	6	230	16	13	0.25	0.05
5	1000	6	210	32	14	0.1	0.06
6	800	5	210	10	18	0.25	0.05
7	1100	5	200	31	28	0.25	0.06
8	900	6	200	17	10	0.1	0.09

No.	x-cor	y-cor
1	14.3	11.6
2	26.9	15.2
3	33.2	22.1
4	13.4	20.9
5	22.4	24.8
6	29.9	11.6
7	15.2	24.8
8	22.4	34.1
9	15.2	29
10	20.9	10.1

No.	cdemand	x-cor	y-cor
1	5	22.46	25.14
2	5	33.26	21.36
3	10	15.6	28.6
4	20	14.8	25.54
5	35	21.74	25.52
6	45	25.96	14.82
7	5	26.96	14.28
8	5	26.8	15.92
9	45	33.6	21.78
10	20	32.3	21.78
11	5	26.74	15.42
12	15	26.66	14.64
13	35	33.82	21.9
14	15	32.58	21.46
15	30	14.28	21.1
16	20	22.28	25.56
17	35	33.96	21.16
18	35	22.9	33.84
19	25	14.56	29.98
20	15	27.86	14.92
21	30	14.46	25.72
22	20	15.82	29.82
23	30	15.32	24.3
24	25	21.96	33.52
25	20	22.1	34.38
26	5	16.12	25.4
27	5	14.86	24.96
28	20	21.52	34.3
29	45	22.78	25.12
30	40	15.62	24.9
31	15	14.98	28
32	30	22.86	33.44
33	20	27.26	15.24
34	35	14.06	21.28
35	5	14.36	20.1
36	20	27.26	14.54
37	25	15.22	28.04
38	30	14.4	28.32
39	25	15.96	25.22
40	10	32.8	21.18
41	40	27.36	14.42
42	25	15.32	29.72
43	30	32.86	22.88
44	20	22.94	24.54
45	15	15.64	24
46	25	14.18	20.68
47	10	22.92	33.26
48	10	14.28	28
49	5	15.84	28.58
50	40	21.8	33.4
51	45	22.44	33.32
52	35	15.7	25.6
53	45	22.66	34.54
54	35	15.4	24.06
55	40	15.16	28.06
56	30	15.32	24.38
57	45	32.84	21.42
58	15	14.42	29.44
59	30	14.8	24.66
60	10	27.5	14.96
61	30	14.08	21.58
62	45	26	15.74
63	25	15.86	24.74
64	35	33.66	22.26
65	10	22.38	24.62
66	35	22.5	24.44
67	25	21.7	33.38
68	30	21.48	33.14
69	20	14.38	20.28
70	15	14.08	20.04
71	20	27.28	15.86
72	45	22.72	34.46
73	20	21.6	33.76
74	15	27.22	15.02
75	10	27.4	14.84
76	5	14.92	24.98
77	40	27.16	15.36
78	35	14.96	24.46
79	10	15.86	28.64
80	30	21.66	33.22
81	25	21.48	33.32
82	35	34.08	22.04
83	45	26.24	15.24
84	35	33.22	21.86
85	5	32.66	22.94
86	10	27.4	15.22
87	30	27.58	15.06
88	25	21.5	34.42
89	40	33.52	22.66
90	15	14.46	24.86
91	40	22.84	25.28
92	35	26.24	15.62
93	25	33.58	21.74
94	35	15.78	24.38
95	25	14.16	21.54
96	40	32.44	21.52
97	5	14.38	29.52
98	15	14.82	29.86
99	40	15.06	28.84
100	15	23.3	24.66

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
