mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
170	2	8	10	150	3980	1200	500	10	55	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	2065	3400	5	280	12	4	
2	1915	3400	5	260	34	32	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1100	7	220	16	19	0.2	0.08
2	1000	8	230	27	9	0.25	0.09
3	1100	8	220	16	14	0.25	0.05
4	900	8	230	14	17	0.2	0.09
5	1000	5	220	12	29	0.25	0.09
6	800	7	220	18	22	0.25	0.09
7	1000	5	210	21	30	0.1	0.06
8	900	7	210	31	28	0.25	0.09

No.	x-cor	y-cor
1	20.3	19.4
2	6.5	14.9
3	23.6	19.1
4	29	18.2
5	6.8	21.8
6	17.3	32.6
7	31.4	28.4
8	23	33.8
9	13.4	10.1
10	10.7	27.2

No.	cdemand	x-cor	y-cor
1	25	24.16	19.36
2	35	21.16	20.02
3	5	28.62	18.9
4	15	19.86	19.36
5	20	24.22	19.4
6	10	31.38	28.54
7	40	21.02	19.18
8	15	23.88	19.44
9	30	18.08	32.68
10	15	20.66	20.08
11	25	23.54	19.36
12	45	21.04	19.6
13	15	20.38	19.62
14	20	22.2	34
15	30	20.56	19.38
16	45	30.52	28.76
17	30	16.7	32.4
18	45	28.32	18.86
19	25	28.7	18.26
20	15	22.12	34.64
21	10	17.66	33.3
22	45	18.04	31.7
23	25	29.84	17.74
24	5	24	18.48
25	30	23.58	34.06
26	35	22.66	19.62
27	25	31.92	28.34
28	5	17.46	32.64
29	40	19.86	19.92
30	25	28.58	18.78
31	35	29.96	18.34
32	45	21.14	20.38
33	25	22.98	18.16
34	25	32.02	27.62
35	20	31.14	27.82
36	25	20.68	20.26
37	35	31.64	29.16
38	35	16.96	31.86
39	45	19.68	18.94
40	10	31.02	29.26
41	30	31.88	27.72
42	45	20.54	20.02
43	45	18.24	32.66
44	30	31.22	28.52
45	15	22.4	33.28
46	20	18.2	31.68
47	15	20.84	20.22
48	15	19.56	19.18
49	10	28.68	18.24
50	10	24.18	19.26
51	40	19.6	18.86
