mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
130	2	8	20	100	2280	1200	500	7	49	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1040	3600	3	260	38	26	
2	1240	3200	4	280	22	6	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	230	27	11	0.1	0.05
2	1000	6	220	18	12	0.25	0.06
3	900	5	220	14	25	0.15	0.05
4	1000	5	230	14	23	0.25	0.08
5	1100	6	230	18	23	0.25	0.08
6	900	7	200	22	13	0.2	0.08
7	900	6	230	22	30	0.2	0.06
8	800	7	230	10	29	0.1	0.09

No.	x-cor	y-cor
1	13.4	7.7
2	12.5	15.8
3	23	21.2
4	13.1	26.6
5	10.1	25.1
6	9.5	24.2
7	22.1	17.9
8	27.5	27.5
9	12.8	11
10	23.9	11.3
11	26.9	11.6
12	23.9	8.3
13	30.2	23.9
14	17.9	30.5
15	17.3	25.4
16	26.3	22.4
17	10.1	17.3
18	7.1	26
19	22.4	34.4
20	8.3	27.5

No.	cdemand	x-cor	y-cor
1	5	18.1	31.48
2	20	17.9	25.86
3	15	26.7	21.48
4	45	21.44	34.78
5	25	26.08	22.18
6	35	21.94	34.1
7	15	17.08	24.66
8	45	16.8	25.44
9	5	26.74	22
10	10	27.9	26.98
11	35	18.3	29.62
12	35	17.3	29.98
13	45	14.06	26.64
14	25	30.64	24
15	30	14.06	27.22
16	35	16.82	25.82
17	10	22.04	34.58
18	40	23.66	20.98
19	10	22.84	33.44
20	20	22.78	34.72
21	35	22.62	34.74
22	35	16.78	25.3
23	35	17.12	30.42
24	15	22.42	16.94
25	15	22.02	34.26
26	45	27.06	21.8
27	15	21.76	33.78
28	35	22.04	17.88
29	35	17.22	25.1
30	10	30.3	23.6
31	20	31.12	24.44
32	35	14	25.94
33	20	27.08	23.04
34	10	30.98	23.98
35	15	18.7	31.04
36	40	14.06	27.26
37	35	17.5	25.3
38	5	16.52	25.6
39	15	17.88	25.46
40	10	18.84	29.82
41	10	14.02	27.06
42	20	21.76	34.14
43	15	22.5	20.54
44	35	27.94	28.44
45	25	21.82	17.46
46	5	22.64	34.74
47	15	18.04	31.48
48	10	27.12	21.92
49	15	23.04	17.14
50	10	17.5	30.24
51	35	25.3	21.64
52	15	22.32	20.38
53	45	22.7	34.26
54	35	25.34	22.36
55	30	23.86	21.58
56	30	17.5	29.54
57	45	23.26	34.26
58	15	28.22	28.38
59	30	18.16	25.14
60	40	16.92	30.58
61	5	14	27.18
62	5	17.32	30.78
63	15	14.08	26.82
64	5	26.4	22
65	5	29.62	24.38
66	15	18.1	26.02
67	10	21.98	17.94
68	10	22.74	17.26
69	30	30.4	24.02
70	20	14	25.74
71	45	17.94	30.78
72	45	30.3	23.44
73	40	22.42	17.06
74	15	30.16	24.6
75	10	23.72	21.42
76	10	29.42	23.52
77	25	22	17.26
78	25	28.46	26.7
79	20	17.94	24.44
80	40	17	25.9
81	35	23.52	21.38
82	20	14	25.86
83	40	18.08	31.04
84	25	18.02	29.94
85	5	16.72	24.92
86	25	14.08	26.28
87	20	23.88	20.94
88	40	29.48	24.46
89	5	28.2	28.3
90	15	14.08	26.88
91	10	25.58	21.86
92	20	22.34	20.68
93	5	22.92	20.5
94	45	21.22	17.32
95	5	17.6	24.56
96	25	27.74	26.6
97	5	22.94	20.76
98	25	17.08	29.78
99	5	31.02	23.68
100	45	27.06	21.46

1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
