mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
180	2	8	20	150	3730	1200	500	10	57	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	1850	3600	5	300	6	12	
2	1880	3000	5	280	28	4	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	220	19	13	0.25	0.06
2	900	8	230	25	16	0.2	0.09
3	1100	7	230	30	24	0.2	0.05
4	1100	5	230	29	14	0.25	0.08
5	800	7	220	19	27	0.25	0.08
6	1000	7	220	33	24	0.25	0.05
7	1000	8	200	30	29	0.2	0.06
8	1100	8	210	30	28	0.25	0.05

No.	x-cor	y-cor
1	9.2	20.6
2	19.1	13.1
3	17.3	14.6
4	19.1	9.8
5	31.7	13.4
6	33.8	25.1
7	14	26.3
8	17.9	21.5
9	8.6	21.2
10	26	6.5
11	33.5	23.6
12	16.7	13.4
13	21.5	24.5
14	18.2	5.6
15	32.6	18.2
16	13.1	28.4
17	10.1	9.2
18	24.8	10.4
19	5.3	21.2
20	17.3	34.4

No.	cdemand	x-cor	y-cor
1	10	14.96	26.06
2	20	32.4	18
3	5	18.24	14.3
4	10	17.28	20.78
5	20	32	17.48
6	30	32.42	14.3
7	15	16.38	14.14
8	45	18.8	21.54
9	35	14.82	27.24
10	35	14.14	25.52
11	40	17.54	14.32
12	45	21.4	24.94
13	30	16.6	14.7
14	40	17.6	20.64
15	30	21.84	23.88
16	35	14.06	28.44
17	25	14.06	28.94
18	15	14.7	26.86
19	10	14.92	26.38
20	20	19.98	14.02
21	45	16.4	14.68
22	40	17.32	22.18
23	25	16.62	14.32
24	30	14.66	27.24
25	15	32.84	24.1
26	35	18.28	22.02
27	20	21.26	25.24
28	5	18.74	14.04
29	10	14.02	27.98
30	45	17.32	22.06
31	10	14	28.34
32	15	14.2	27.24
33	20	30.74	14.24
34	10	34.4	24.2
35	30	21.28	24.18
36	10	21.3	23.72
37	10	14.24	26.76
38	45	33.54	24.5
39	30	17.58	20.92
40	35	32.34	17.76
41	25	32.6	22.86
42	30	18.36	22.04
43	40	33.62	24.46
44	10	14.72	25.3
45	35	32.56	18.42
46	5	18.22	14.18
47	35	19.52	14.06
48	10	17.22	14.18
49	45	33.92	24.54
50	25	14.9	26.64
51	20	18.7	14.02
52	45	17.32	21.04
53	40	33.06	24.42
54	45	21.96	23.8
55	40	33.04	24.72
56	40	14.22	26.56
57	30	32.86	24.88
58	35	14.9	27.1
59	10	33.42	22.66
60	20	14.26	27.06
61	10	14.02	28.12
62	5	14	27.86
63	30	19.5	14.06
64	5	18.8	14
65	25	32.74	23.52
66	10	14.68	27.26
67	5	33.76	25.24
68	25	18.72	14.06
69	45	17.66	21.78
70	45	20.98	24.38
71	5	18.14	14.08
72	15	21.22	24.54
73	45	17.66	15.54
74	30	18.4	21.62
75	10	31.76	14
76	15	16.1	14.02
77	5	22	25
78	40	32.58	23.32
79	20	14.04	28.84
80	15	18.66	14.04
81	15	32.12	14.12
82	5	32.78	24.18
83	40	16.02	14.3
84	25	17.14	14.3
85	25	14.96	27.12
86	15	21.4	24.96
87	20	21.08	25
88	10	20.7	24.4
89	20	17.02	14.28
90	30	18.26	14.04
91	20	14	29.28
92	40	17.32	14.62
93	30	18.82	14.04
94	20	33.94	24.24
95	30	17.32	14.3
96	35	20.62	24.18
97	40	14.18	27.12
98	15	32.7	22.6
99	5	34.16	24.84
100	35	14.58	26.66
101	35	16.78	14.04
102	45	14	29
103	15	21.26	24.68
104	20	33.46	25.74
105	10	17.86	21.24
106	15	14.08	27.58
107	35	19.12	14.08
108	40	18.54	20.68
109	40	16.26	14.24
110	25	16.38	14.38
111	35	14.22	26
112	45	17.48	14.16
113	40	22.24	23.8
114	40	31.2	14.26
115	5	22	24.92
116	30	18.26	14
117	35	16.9	21.52
118	45	34	24.58
119	35	14.04	27.86
120	10	17.9	14.04
121	20	14.28	25.62
122	25	17.74	22.12
123	10	33.34	25.64
124	40	17.9	15.18
125	10	14.04	27.56
126	5	14.68	26.64
127	35	18.6	14.04
128	20	16.82	14.36
129	30	17.54	14.1
130	10	16.8	14.18
131	45	32.7	17.5
132	15	16.52	14.74
133	10	22.1	25.36
134	40	34.06	24.62
135	35	16.96	20.56
136	5	14.92	26.26
137	20	14.08	27.84
138	10	14.04	29.08
139	15	16.94	14.22
140	20	18	14.64
141	20	14.88	25.9
142	20	32.52	23.22
143	25	33.32	23.46
