mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
185	3	12	20	150	3560	1200	500	11	82	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1145	3200	3	300	32	36	
2	1200	3200	4	250	12	8	
3	1215	3600	4	280	26	6	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	5	200	24	29	0.1	0.08
2	800	5	200	16	19	0.25	0.09
3	900	8	210	9	17	0.2	0.08
4	900	6	210	32	18	0.15	0.05
5	1100	6	210	26	18	0.25	0.08
6	800	8	220	23	22	0.15	0.06
7	1100	7	210	17	28	0.2	0.05
8	900	7	200	13	32	0.15	0.06
9	1100	8	210	30	11	0.2	0.08
10	1000	8	230	33	19	0.2	0.05
11	800	7	210	30	16	0.15	0.06
12	900	7	230	19	22	0.2	0.09

No.	x-cor	y-cor
1	10.1	29.9
2	33.5	19.4
3	9.5	14
4	19.1	12.5
5	19.7	16.7
6	13.7	26.9
7	22.4	20.9
8	32.3	18.8
9	33.2	26.3
10	30.8	26.6
11	7.7	26.6
12	14.6	22.4
13	21.2	32.3
14	17.6	22.7
15	25.7	31.4
16	23	8.6
17	33.2	20.6
18	19.4	24.2
19	34.1	21.8
20	17	5.9

No.	cdemand	x-cor	y-cor
1	15	33.24	20.44
2	40	30.74	26.14
3	30	15.54	21.96
4	20	23.22	20.16
5	5	33.92	20.88
6	30	31.58	25.78
7	25	14.78	21.82
8	35	14.02	22.94
9	30	14.7	22.48
10	20	18.84	23.96
11	35	33.26	21.28
12	35	17.9	22.84
13	25	33.16	21.5
14	35	20.22	24.3
15	45	14.58	22.14
16	20	14.26	21.64
17	20	31.42	27.38
18	40	20.2	17.34
19	30	14.56	26.38
20	25	19.08	17.06
21	40	32.44	20.22
22	35	33.26	21.68
23	40	33.4	25.56
24	5	26.46	31.68
25	15	17.26	22.98
26	15	24.72	31.34
27	5	30.5	26
28	15	14.86	22.36
29	40	32.42	26.78
30	5	32.82	18.42
31	35	32.9	19.32
32	25	34.08	19.76
33	40	15.28	21.96
34	25	14.2	26.78
35	35	21.46	32.18
36	5	34.1	18.7
37	40	19.58	25.04
38	25	33.1	20.8
39	25	32.02	18
40	25	14.62	22.12
41	5	21.12	32.06
42	10	32.06	18.24
43	40	18.4	24.86
44	25	32.34	19.58
45	5	17.4	23.12
46	15	21.08	31.96
47	15	30.74	27.36
48	35	32.96	19.84
49	20	20.5	31.58
50	15	31.58	26.52
51	5	34.58	22.12
52	45	18.42	23.5
53	30	21.56	32.8
54	25	18.94	23.26
55	5	19.04	23.8
56	20	33.12	18.4
57	40	23.02	19.92
58	5	32.86	18.6
59	45	22.06	32.44
60	45	22.1	20.4
61	15	16.98	22.52
62	5	20.42	17.12
63	35	31.16	25.7
64	25	25.54	30.88
65	40	14.08	21.68
66	30	15.4	22.58
67	20	18.88	16.3
68	15	14.16	25.96
69	35	17.14	23.44
70	25	32.24	26.14
71	25	20.9	31.86
72	5	25.8	30.5
73	25	32.5	18.42
74	5	33.92	19.54
75	20	23.3	20.22
76	30	14.18	26.84
77	10	16.6	21.72
78	15	16.78	22.18
79	10	25.62	31.92
80	30	19.36	17.3
81	10	14.22	27.22
82	30	18.42	22.36
83	30	19.06	16.96
84	10	19.28	23.2
85	25	17.9	21.88
86	5	20.26	25.04
87	40	33.54	20
88	30	15.5	22.6
89	45	32.44	26.28
90	40	14.68	22.66
91	35	32.24	21.22
92	5	32.88	19.92
93	5	33.52	25.98
94	5	34.4	21.88
95	30	32.64	19.62
96	25	20.72	32.18
97	25	14.54	26.66
98	5	18.66	24.24
99	15	33.18	19.08
100	15	18.82	24.78
101	30	14.38	26.66
102	35	23	20.46
103	30	31.3	27
104	10	21.52	20.36
105	15	18.36	22.02
106	40	33.14	22.7
107	25	21.9	20.32
108	10	33.46	21.4
109	20	32.38	25.94
110	15	14.78	22.36
111	20	33.84	21.08
112	25	21.88	32.06
113	40	26.42	31
114	45	32.46	26.52
115	10	33.34	25.72
116	5	21.74	31.52
117	35	17.22	22.02
118	15	33.16	18.5
119	5	20.52	32.7
120	45	31.66	18.5
121	15	22.6	20.98
122	45	33.02	19.26
123	15	21.16	33.14
124	45	34.64	21.74
125	10	32.64	26.94
126	35	33.94	22.72
127	15	32.62	20.4
128	20	31.02	27.5
129	5	14.36	27.36
130	15	18.38	22.22
131	20	17.26	21.98
132	30	16.86	22.44
133	20	32.72	21.4
134	45	26.18	30.66
135	25	34.56	21.22
136	5	30.86	25.72
137	15	14.64	27
138	35	25.02	30.5
139	35	34.1	19.92
140	45	34.88	21.24
141	40	22.68	21.8
142	35	20.08	23.82
143	20	30.3	25.7
144	10	32.4	26.74
145	20	20.62	31.7
146	35	34	20.84
147	15	21.8	32.96
148	10	14.26	22.48
149	35	33.18	18.62
150	15	30.7	26.4

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
