mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
235	3	12	20	200	5650	1200	500	14	80	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	1750	3000	4	260	10	36	
2	1820	3400	5	280	12	36	
3	2080	3000	5	250	18	36	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1100	8	210	25	17	0.15	0.06
2	900	7	200	31	22	0.2	0.08
3	1000	8	210	7	22	0.25	0.08
4	900	5	200	21	21	0.15	0.08
5	1000	8	230	31	19	0.25	0.08
6	900	5	230	7	24	0.2	0.05
7	1100	5	230	29	12	0.15	0.09
8	1100	8	230	32	14	0.25	0.06
9	1100	8	200	14	14	0.2	0.05
10	800	5	230	18	16	0.2	0.09
11	800	5	210	12	31	0.1	0.06
12	900	8	230	28	26	0.25	0.06

No.	x-cor	y-cor
1	5.9	16.4
2	24.2	32.6
3	10.7	29.3
4	30.5	10.4
5	22.4	20.9
6	22.4	23.3
7	33.2	23.6
8	33.8	20.3
9	18.2	5.3
10	33.8	15.5
11	23.6	21.8
12	23.6	34.1
13	14	23.6
14	28.1	14.3
15	11	24.8
16	8.6	25.7
17	8	16.4
18	19.4	32
19	28.4	21.5
20	9.2	29.3

No.	cdemand	x-cor	y-cor
1	25	14.74	24.12
2	35	23.82	34.4
3	25	27.92	22.22
4	45	23.48	21.02
5	10	22.76	19.9
6	30	27.94	22.14
7	40	33.06	20.26
8	20	32.7	24.52
9	30	32.86	14.62
10	30	21.66	23.04
11	40	23.7	33.9
12	35	23.28	20.28
13	15	24	32.02
14	10	24.16	31.92
15	15	34.28	15.46
16	45	21.92	21.78
17	35	34.68	20.4
18	35	23.26	34.5
19	25	24.06	33.3
20	45	24.32	33.28
21	45	27.82	20.72
22	35	22.24	20.82
23	40	27.72	14.52
24	45	22.84	24.12
25	35	14.52	23.36
26	10	32.88	24.28
27	40	32.92	19.32
28	30	23.36	21.24
29	15	14.34	22.6
30	30	21.66	20.32
31	25	24.4	21.26
32	10	28.74	14.62
33	45	33.62	14.6
34	10	19.72	32.9
35	25	24.56	33.66
36	40	24.54	33.98
37	20	28.32	21.32
38	5	23.22	32.84
39	45	19.92	31.66
40	30	21.96	20.68
41	30	33.22	14.76
42	40	23.64	31.74
43	40	29.1	22.28
44	40	14.94	24.2
45	40	33.66	20.08
46	40	28.24	21.26
47	20	28.58	14.24
48	35	33.56	15.16
49	20	33.34	15.14
50	30	19.46	32.84
51	40	24.8	32.22
52	30	27.86	15.1
53	40	14.86	22.86
54	45	20.16	32.48
55	30	24.82	32.9
56	25	28.12	20.74
57	20	23.38	21.92
58	5	21.7	20.4
59	35	23.26	32.74
60	40	33.78	15.64
61	35	32.38	22.92
62	20	28.5	21.68
63	5	33.72	19.62
64	35	23.08	23.58
65	45	32.48	24.54
66	25	22.02	22.76
67	5	23.6	33.24
68	5	34.14	21.08
69	45	33.52	23.44
70	5	23.12	24.06
71	35	23.3	32.9
72	45	22.96	20.8
73	5	32.3	23.92
74	35	21.54	20.76
75	45	34.36	20.5
76	25	33.42	20.18
77	15	22.64	21.82
78	45	33.9	16.14
79	35	23.78	22.7
80	25	34.58	16.48
81	40	23.94	32.8
82	25	28.04	14.86
83	35	22.38	21.02
84	45	33.2	19.84
85	40	22.74	34.44
86	10	28.02	14.34
87	10	23.12	22.32
88	40	32.64	24.14
89	25	23.98	21.98
90	35	22.76	22.34
91	10	21.44	21.04
92	25	27.92	20.92
93	5	32.94	15
94	45	18.52	31.08
95	20	28.02	20.72
96	20	23.82	33.74
97	30	33.08	16.28
98	30	24.16	32.54
99	35	18.58	31.52
100	45	24.36	33.06
101	45	23.68	21
102	40	14.06	24.32
103	35	33.16	24.18
104	25	22.36	20.46
105	15	20.18	31.18
106	35	22.26	19.96
107	30	23.22	33.4
108	25	24.24	33
109	15	22.92	33.94
110	15	32.98	19.34
111	45	22.9	23
112	40	22.56	23.18
113	20	32.36	24.34
114	10	33.08	15.92
115	25	34.04	16.18
116	10	24.24	22.48
117	40	33.28	19.48
118	25	23.5	33.14
119	25	33.08	21.06
120	35	20.14	31.58
121	25	32.8	20.34
122	45	23.5	33.74
123	15	33.42	23.32
124	45	14.84	23.92
125	30	18.68	32.96
126	35	24.4	32.68
127	35	23.94	33.56
128	15	29.1	22.36
129	15	24.4	33.96
130	35	19	31.08
131	30	23.66	32.9
132	40	33.44	24.26
133	25	22.42	22.74
134	40	23	21.86
135	45	32.68	23.48
136	30	22.14	23.44
137	35	20	32.12
138	10	33.52	15.8
139	10	23.5	22.68
140	40	14.18	23.12
141	40	22.62	33.84
142	30	21.44	21.54
143	45	24.64	32.52
144	10	21.94	22.68
145	10	33.02	19.92
146	40	34.1	16.32
147	25	32.28	23.92
148	25	24.5	32.36
149	20	23.1	22.7
150	20	23.78	21.02
151	15	33.82	21.06
152	40	22.7	34.02
153	35	22.16	24.14
154	20	28.3	14.7
155	10	34.4	16.36
156	15	23.62	33.72
157	5	22.88	21.92
158	25	21.8	24.26
159	45	23.38	23.34
160	15	22.1	23.04
161	30	33.62	15.42
162	30	34.12	24.1
163	20	18.42	31.16
164	20	24.22	22.58
165	40	23.78	20.96
166	35	24.12	22.44
167	35	24.38	34.26
168	30	24.66	32.84
169	10	28.88	14
170	30	22.5	20.72
171	40	21.74	20.26
172	5	23.62	31.6
173	5	24.02	31.82
174	45	34.32	19.7
175	40	33.18	19.56
176	40	21.52	22.78
177	30	22.9	34.22
178	15	34.42	16.4
179	45	29.04	14.82
180	20	32.68	24.16
181	15	23.14	21.58
182	45	14.48	24.52
183	45	28.34	14.72
184	5	33.54	20.42
185	20	34.26	20.6
186	40	33.38	20.12
187	45	33.1	24.2
188	35	20.12	32.68
189	5	23.66	22.22
190	30	22.84	20.14
191	20	32.8	14.62
192	20	23.96	33.36
193	5	24.98	32.64
194	15	23.42	32.02
195	25	22.98	20.44
196	45	24.08	33.1
197	40	14.36	23.26
198	30	20.04	31.58
199	25	33.2	21
200	10	14.76	23.08

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
