mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
195	3	12	30	150	3710	1200	500	11	73	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1240	3400	4	280	28	2	
2	1160	3400	3	280	8	30	
3	1310	3400	4	250	14	6	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	210	19	31	0.1	0.09
2	1000	6	210	17	9	0.15	0.05
3	800	6	210	26	18	0.25	0.05
4	900	6	200	14	25	0.15	0.09
5	1000	5	220	9	21	0.2	0.06
6	1100	7	200	18	12	0.15	0.05
7	900	6	200	23	26	0.1	0.05
8	800	6	220	15	10	0.25	0.06
9	800	5	210	28	9	0.15	0.09
10	1100	7	210	14	19	0.25	0.06
11	1100	6	220	27	21	0.15	0.08
12	900	6	220	30	22	0.15	0.06

No.	x-cor	y-cor
1	10.1	16.1
2	23.6	18.2
3	17.9	10.7
4	29	26.3
5	14	16.4
6	16.1	32.3
7	29.9	26.3
8	28.7	28.7
9	19.7	26.9
10	24.5	20.9
11	31.1	22.4
12	24.8	15.2
13	26.3	11.9
14	17	10.4
15	7.7	18.8
16	17.3	8.9
17	5.3	21.2
18	17	9.8
19	11	22.4
20	15.2	28.7
21	13.7	19.7
22	23	7.1
23	13.7	14.3
24	24.8	14
25	14.6	22.1
26	19.7	34.4
27	33.2	20.9
28	24.5	16.4
29	8.3	27.2
30	5.9	16.4

No.	cdemand	x-cor	y-cor
1	25	25.34	16.86
2	20	29.36	26.12
3	40	14.6	19.4
4	30	14.48	14.6
5	30	15.18	23.02
6	10	23.84	14.64
7	25	28.94	25.58
8	35	14.32	14.78
9	35	28.9	26.76
10	15	15.76	31.52
11	10	30.36	26
12	10	16.62	31.8
13	40	15.38	29.6
14	45	23.92	16
15	25	14.5	14.62
16	40	28.52	25.72
17	15	19.42	34.84
18	35	25.02	16.9
19	15	15.54	21.9
20	25	30.24	26.1
21	10	33.28	20.52
22	30	27.94	28.76
23	5	29.36	29.42
24	5	25.38	21.56
25	35	31.32	23.36
26	10	15.46	31.88
27	15	14.14	19
28	10	29.52	29.18
29	20	30.94	22.56
30	20	30.7	26.88
31	45	30.26	21.8
32	15	29.04	25.48
33	30	15.66	28.42
34	15	14.14	16.84
35	40	15.24	33.04
36	5	24.66	20.62
37	20	30.38	21.64
38	15	29.12	26.18
39	35	29.44	27.78
40	20	15.4	31.86
41	10	24.36	21.28
42	45	34.06	20.16
43	40	16.76	32.62
44	30	24.5	14.44
45	5	29.1	25.96
46	20	15	21.78
47	15	33.5	21.2
48	25	20.3	27.24
49	10	24.02	21.68
50	40	16.4	31.56
51	5	14.42	15
52	40	15.58	21.16
53	30	14.02	14.44
54	35	18.96	27.72
55	35	24.06	17.98
56	10	19.3	25.98
57	35	29.72	26.92
58	15	32.44	20.98
59	15	23.14	17.42
60	35	19.94	34.54
61	45	29.4	25.3
62	10	22.84	17.34
63	45	30.36	25.92
64	5	16.12	32.86
65	40	16.3	31.8
66	5	28.64	26.06
67	25	18.92	34.06
68	35	33.18	21.8
69	10	31.86	22.72
70	45	28.16	26.04
71	5	20.44	25.92
72	35	29.62	26.22
73	10	30.6	25.56
74	5	18.72	34.54
75	45	14.6	20
76	15	14.48	21.86
77	10	30.88	22.06
78	25	14.06	20.24
79	25	17.02	32.28
80	40	14.96	16.48
81	40	14.1	22.62
82	5	34.18	20.82
83	20	29.06	26.6
84	30	20.36	27.02
85	5	23.12	18.44
86	40	23.88	16.96
87	10	29.5	28.06
88	35	19.84	34.38
89	35	30.16	25.46
90	45	30.54	21.96
91	15	30.3	27.26
92	45	15.6	33.04
93	40	15.54	33.08
94	45	30.68	22.36
95	40	14.3	18.96
96	30	16.06	29.38
97	45	14.28	14.5
98	35	14.3	16.6
99	45	25.32	15.9
100	15	29.18	26.96
101	25	14.84	16.5
102	15	29.46	28.96
103	20	23.8	16.08
104	30	30.14	26.06
105	45	14	20.46
106	5	14.68	15.88
107	25	15.46	32.62
108	40	23.94	15.82
109	45	23.98	21.88
110	15	15.48	22.2
111	45	16.74	32.34
112	30	20.14	27.14
113	20	14.38	16.14
114	25	28.36	29.14
115	20	14.1	15.44
116	30	24.22	14.98
117	35	19.38	26.74
118	25	14.8	29
119	45	29.1	26.94
120	25	29.58	25.78
121	45	20.36	34.08
122	20	15.08	28.3
123	10	14.1	14.18
124	45	28.84	26.1
125	10	20.38	34.36
126	5	23.06	18.34
127	10	29.14	29.34
128	25	18.76	26.56
129	45	19.26	26.8
130	15	34.04	21.78
131	25	14.58	29.44
132	10	14.62	22.72
133	15	14.12	15.76
