mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
245	3	12	30	200	5050	1200	500	13	85	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	1680	3000	4	250	28	4	
2	1555	3600	4	260	36	12	
3	1815	3200	5	280	34	22	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	8	210	15	27	0.1	0.09
2	1100	7	220	19	26	0.25	0.05
3	800	5	200	9	14	0.15	0.08
4	900	7	210	14	26	0.1	0.06
5	1000	7	230	9	13	0.15	0.08
6	900	8	230	11	22	0.15	0.05
7	900	8	230	16	17	0.15	0.09
8	900	6	200	15	15	0.2	0.05
9	1100	7	220	28	24	0.15	0.09
10	1000	8	230	24	14	0.15	0.05
11	900	7	200	9	24	0.25	0.08
12	900	7	230	19	7	0.25	0.09

No.	x-cor	y-cor
1	33.8	21.5
2	8	22.7
3	32.3	20.3
4	27.8	12.5
5	15.5	24.5
6	17.9	11
7	26.3	25.1
8	10.4	18.8
9	30.8	18.5
10	9.8	19.4
11	29.6	14.9
12	28.4	18.8
13	24.5	24.2
14	31.7	25.4
15	16.1	16.4
16	25.1	19.7
17	25.4	24.5
18	15.8	18.8
19	23.6	19.7
20	9.2	18.2
21	10.7	28.4
22	34.7	21.8
23	32	17.3
24	19.7	29
25	14.6	27.8
26	8.3	21.5
27	25.4	13.7
28	31.1	14.6
29	18.8	23.9
30	24.8	25.4

No.	cdemand	x-cor	y-cor
1	10	26.66	25.9
2	5	24.68	24.1
3	40	18.64	24.48
4	15	23.82	19.76
5	5	30.88	18.88
6	30	33.38	21.22
7	30	26.04	14.38
8	15	32.24	26.08
9	35	28.42	19.62
10	45	31.98	14.42
11	20	25.8	14.4
12	40	15.92	19.28
13	30	31.08	19.36
14	20	24.48	24.86
15	10	19.06	29.34
16	15	25.98	24.64
17	25	26.02	26
18	45	18.5	23.88
19	45	24.62	24.92
20	15	18.84	23.42
21	15	24.16	20.58
22	20	32.1	16.46
23	25	26.14	14.52
24	15	25.88	24.62
25	20	25.28	19.2
26	35	19.4	24.24
27	15	32.12	24.92
28	30	15.52	25.48
29	45	15.62	24
30	25	19.18	24.32
31	35	25.52	24.26
32	35	25.66	19.42
33	30	15.36	16.92
34	30	17.04	15.98
35	5	19.24	23.06
36	20	14.62	28.2
37	40	25.76	24.28
38	25	28.06	19.26
39	10	26.42	25.86
40	45	30.86	26.28
41	10	33.88	20.82
42	20	28.76	15.56
43	30	26.12	26.06
44	15	34.46	22.08
45	20	32.22	26.16
46	45	14.68	27.6
47	15	32.28	20.86
48	35	25.84	18.96
49	25	25.04	14.2
50	20	33.44	21.06
51	25	15.12	16.48
52	45	25.02	14.36
53	35	32.08	16.62
54	40	33.78	21.86
55	40	31.74	17.46
56	30	28.96	15.06
57	5	15.44	19.22
58	10	24.7	23.32
59	35	25.66	14.5
60	20	18.68	23.48
61	20	31.1	25.72
62	25	31.26	18.7
63	10	31.9	18.18
64	20	33.74	22.54
65	20	29.8	14.7
66	40	14.88	23.98
67	45	19.66	28.36
