mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
117	3	4	10	100	2475	1200	500	9	27	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	905	3200	3	260	18	38	
2	835	3200	3	280	2	16	
3	735	3000	3	300	36	32	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	900	7	200	23	32	0.25	0.06
2	1000	8	220	19	27	0.2	0.08
3	1100	6	220	29	10	0.2	0.09
4	800	6	230	33	22	0.25	0.09

No.	x-cor	y-cor
1	11.9	24.8
2	12.5	28.4
3	30.5	20.6
4	11.6	17.3
5	32.6	26.6
6	9.8	21.5
7	11.6	12.5
8	29	11.6
9	14.6	21.5
10	32.6	21.8

No.	cdemand	x-cor	y-cor
1	15	33	25.84
2	25	31.88	26.8
3	5	14.94	21.04
4	35	15.4	21.84
5	25	30.36	20.06
6	20	14.5	21.9
7	15	31.8	26.46
8	20	32.96	27.36
9	15	31.62	27.4
10	15	14.28	21.14
11	25	30.72	21.12
12	5	14.38	22.1
13	25	15.5	22.14
14	45	31.82	27.32
15	10	32.78	25.7
16	35	31.02	21.08
17	15	14.02	21.98
18	25	32.74	26.52
19	40	32.02	25.84
20	10	15.32	20.5
21	35	14.66	22.42
22	20	31.98	26.5
23	25	32.34	27.58
24	45	29.6	21.26
25	30	30.26	21.42
26	15	14.96	22.24
27	15	30.74	20.56
28	30	33.12	26.28
29	30	30.08	21.3
30	15	29.68	20.36
31	30	32.04	25.8
32	45	33.44	26.16
33	15	31.34	20.08
34	15	29.66	20.56
35	45	31.38	19.86
36	40	31.86	27.3
37	5	14.42	21.3
38	5	14.18	20.54
39	15	14.9	20.76
40	20	14.96	20.8
41	5	14.22	21.96
42	5	30.78	20.32
43	40	30.96	20.06
44	20	31.62	27.36
45	25	14.76	21.32
46	25	14.9	21.58
47	35	30.08	19.66
48	5	33.44	26.64
49	15	29.74	19.76
50	15	32.02	25.72
51	40	32	26.32
52	20	33.12	26.96
53	40	31.34	19.66
54	25	14.94	21.2
55	20	14.32	20.66
56	45	30.14	19.94
57	20	14.62	20.5
58	45	32.28	25.68
59	35	32.06	25.96
60	10	15.56	21.08
61	20	15	22.4
62	5	33.32	25.94
63	20	33.5	26.06
64	35	31.44	20.06
65	40	14.1	21.74
66	45	15.38	20.72
67	45	31.22	19.64
68	25	29.86	20.76
69	20	33.14	26.7
70	20	33.52	26.16
71	20	30.76	19.88
72	40	31.62	26.92
73	15	14.24	22.04
74	35	14.44	20.7
75	45	29.74	21.54
76	35	14.2	21.1
77	45	14.58	20.72
78	25	32.98	27.44
79	45	14.66	20.58
80	30	14.06	21.9
81	20	15.2	20.74
82	45	14.64	20.54
83	5	29.7	19.6
84	30	14.3	20.98
85	5	30.28	20.34
86	40	31.04	21.2
87	15	33.42	26.64
88	30	31.9	26.98
89	25	32.78	26.5
90	15	33.16	26.92
91	25	14.54	21.76
92	10	30.98	20.5
93	15	32.8	27.4
94	35	30.18	20.32
95	5	33.2	26.66
96	20	30.2	20.54
97	35	30.38	21.1
98	25	32.92	26.72
99	35	14.84	21.84
100	20	31.4	19.94

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
