mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
67	3	4	10	50	1390	1200	500	6	23	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	455	3400	2	260	6	12	
2	505	3000	2	250	16	38	
3	430	3400	2	280	16	6	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	5	210	29	15	0.15	0.05
2	800	5	210	10	21	0.15	0.06
3	1000	6	230	15	22	0.15	0.09
4	800	7	220	23	9	0.1	0.08

No.	x-cor	y-cor
1	13.4	18.5
2	28.1	22.7
3	25.4	25.7
4	15.5	8
5	29	25.1
6	13.7	9.8
7	19.7	18.8
8	30.8	28.1
9	33.2	14.3
10	26.3	12.8

No.	cdemand	x-cor	y-cor
1	25	27.52	21.82
2	5	18.78	19.68
3	30	30.62	28.66
4	30	30.98	27.76
5	40	14.22	18.42
6	15	14.08	18.96
7	25	29.76	24.16
8	20	14.14	18.92
9	20	33.32	14.48
10	45	29.68	25.04
11	35	29	22.06
12	20	32.8	14.56
13	20	19.46	18.2
14	25	26.16	25.24
15	30	25.14	26.32
16	35	25.9	25.18
17	40	28.94	23.4
18	25	19.08	18.76
19	30	19.54	19.58
20	20	27.16	23.08
21	25	28.02	26.06
22	40	31.04	28.06
23	30	29.46	24.4
24	45	32.24	14.04
25	35	32.28	14.6
26	45	28.88	22.54
27	35	27.68	23.68
28	10	32.56	15.1
29	30	14.2	19.38
30	45	26.16	25.56
31	45	32.74	14.08
32	35	24.74	25.8
33	35	32.96	14.5
34	15	31.32	27.82
35	5	28.86	24.6
36	35	29.24	24.46
37	20	26.16	25.38
38	25	28.08	25.14
39	20	34.12	15.28
40	15	28.8	22.92
41	45	28.7	25.22
42	10	19.5	18.82
43	45	31.62	27.12
44	35	29.52	26
45	15	24.78	25.26
46	15	20.44	18.14
47	40	28.1	25.74
48	25	28.14	25.54
49	5	30.44	29.06
50	30	19.32	19.4

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
