mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
127	3	4	20	100	2550	1200	500	9	25	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	780	3000	3	300	16	2	
2	965	3600	3	260	38	16	
3	805	3400	3	250	32	10	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	800	6	230	19	33	0.1	0.06
2	1000	5	230	28	12	0.2	0.09
3	1000	8	220	29	13	0.25	0.05
4	1100	6	230	16	19	0.1	0.09

No.	x-cor	y-cor
1	14.3	27.8
2	29.3	21.8
3	11.3	26.6
4	26.6	27.5
5	10.4	10.4
6	11.9	14.9
7	14.3	23.3
8	12.2	25.7
9	8.3	25.4
10	23.9	29.9
11	24.2	24.8
12	21.5	24.5
13	23.6	5.9
14	14.6	28.7
15	29.6	14.9
16	29.9	9.5
17	17.9	13.1
18	6.5	25.7
19	10.7	29
20	6.5	16.7

No.	cdemand	x-cor	y-cor
1	5	14.26	28.2
2	40	14.2	22.6
3	20	21.58	23.76
4	40	25.72	27.84
5	15	22.92	30.26
6	15	14.28	22.82
7	40	23.18	30.38
8	15	14.02	29.3
9	25	15.38	28.36
10	30	24.18	30.88
11	35	14.24	27.08
12	20	18.4	14.02
13	20	15.24	27.16
14	45	16.96	14.04
15	20	20.64	24.32
16	35	29.64	15.44
17	35	14.58	27.02
18	5	18.4	14
19	20	21.44	24.64
20	45	24.32	24.44
21	30	14.54	28.98
22	5	23.3	30.7
23	40	27.32	27.42
24	30	30.24	14.7
25	20	26.14	26.88
26	5	14.38	24.22
27	40	17.72	14
28	35	17.08	14.08
29	15	15	22.94
30	10	29.66	15.06
31	45	14.7	28.96
32	10	25.04	24.12
33	25	29.1	22.6
34	10	20.68	25.4
35	10	24.28	30.7
36	25	21.82	24.9
37	30	27.28	27.54
38	25	15.24	28.7
39	5	14.96	28.14
40	15	14.7	28.02
41	45	28.6	21.04
42	5	14.76	22.38
43	30	14.48	27.44
44	35	24.02	29.76
45	45	24.58	24.66
46	25	24.42	24.24
47	40	21.38	24.86
48	5	24.14	29.56
49	5	14.14	24.18
50	15	28.36	21
51	35	14.58	29.54
52	10	28.94	21.34
53	25	29.5	14.42
54	40	24.6	30.18
55	15	14.54	28.76
56	40	29.88	14.56
57	30	15.16	27.44
58	25	24.94	25.72
59	35	17.1	14
60	30	24.08	25.48
61	35	14.28	24.2
62	25	29.34	15.34
63	25	27.22	26.58
64	5	23.42	29.56
65	20	29.4	14.92
66	20	20.56	25.02
67	35	17.56	14.06
68	25	24.32	24.48
69	20	22.3	24.44
70	35	15.12	23.16
71	30	22.22	24.3
72	20	17.2	14.04
73	25	14.6	28.38
74	40	14.54	28.28
75	30	21.68	24.12
76	5	26.84	26.94
77	5	28.7	15.48
78	25	29.52	14.4
79	25	14.26	23.58
80	40	21.12	23.54
81	35	20.78	23.88
82	5	22.36	25.34
83	15	24.6	25.58
84	45	26.9	27.04
85	35	14.22	27.92
86	40	25.76	27.44
87	5	14.34	24.14
88	35	23.52	30.8
89	45	24.46	29.4
90	20	15.44	28.08
91	40	14.46	26.94
92	25	24.08	29.1
93	35	24.4	24.28
94	15	14.08	27.36
95	40	23.32	24.9
96	40	29.4	14.52
97	10	23.54	30.14
98	45	26.94	26.94
99	25	14.54	27.88
100	15	29.34	21.14

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
