mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
77	3	4	20	50	1290	1200	500	6	27	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	420	3600	2	260	2	26	
2	415	3000	2	260	4	32	
3	455	3200	2	280	6	22	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	6	220	23	22	0.1	0.05
2	1100	5	200	11	21	0.1	0.05
3	1000	8	210	11	23	0.25	0.06
4	1100	8	200	11	11	0.25	0.06

No.	x-cor	y-cor
1	21.5	18.2
2	6.2	23.9
3	19.1	22.1
4	31.7	11
5	30.8	13.4
6	20.3	24.2
7	22.7	6.5
8	15.8	31.7
9	23	34.4
10	20.9	32.6
11	28.7	28.7
12	14	31.7
13	9.5	18.8
14	12.2	12.8
15	18.2	31.1
16	5.9	20.6
17	29.9	29.6
18	27.8	9.8
19	19.1	32.9
20	26.3	20.3

No.	cdemand	x-cor	y-cor
1	5	23.36	34.32
2	5	22.36	18.86
3	15	31.12	14.2
4	20	20.08	32.72
5	15	21.32	32.8
6	35	29.58	30.1
7	5	16.5	30.84
8	20	14.58	31.48
9	25	14.76	31.8
10	20	19.88	22.54
11	25	29.06	30.48
12	5	15.22	32.02
13	35	19.62	32.82
14	40	21.14	24.56
15	40	18.1	22.24
16	45	23.18	34.1
17	25	14.24	30.82
18	30	19.54	22.84
19	20	20.78	18.86
20	20	20.54	24.08
21	20	20.02	33
22	10	22.26	17.74
23	40	22.44	17.5
24	25	15.04	30.84
25	30	30.92	14.08
26	40	20.2	23.28
27	25	18.86	32.4
28	30	16.7	32.64
29	5	20.44	23.46
30	40	14.36	32.44
31	30	19.72	32.7
32	45	31.26	14.06
33	45	28.58	29.44
34	10	28.14	27.92
35	10	20.14	23.24
36	45	18.12	22.84
37	40	21.66	32.86
38	5	18.44	32.56
39	40	15.26	31.36
40	45	27.98	29.38
41	45	19.18	33.1
42	20	20.1	24.26
43	20	20.76	17.6
44	35	19.96	33.56
45	40	14.18	31.74
46	40	18.38	21.78
47	30	21.8	31.82
48	5	29.3	28.9
49	15	23.48	33.52
50	10	20.88	33.1

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
