mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
121	3	8	10	100	2520	1200	500	9	50	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	840	3000	3	280	10	4	
2	825	3000	3	300	2	12	
3	855	3000	3	300	18	4	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	6	200	11	14	0.2	0.08
2	1100	8	220	14	13	0.25	0.09
3	1000	7	230	9	26	0.15	0.06
4	1100	5	200	13	29	0.15	0.08
5	900	6	200	27	11	0.15	0.05
6	1000	5	230	17	27	0.15	0.09
7	900	8	210	19	21	0.1	0.08
8	1000	5	230	17	12	0.2	0.08

No.	x-cor	y-cor
1	6.8	23.9
2	29.3	18.8
3	21.5	25.1
4	5.9	23.9
5	23	14.3
6	12.2	26.9
7	23	13.4
8	21.5	18.8
9	5.6	17
10	33.2	22.1

No.	cdemand	x-cor	y-cor
1	10	23.5	15
2	35	23.86	14.9
3	45	23.86	15.1
4	20	20.76	25.12
5	20	22.9	14.38
6	45	20.72	19.04
7	5	22.24	18.5
8	35	23.64	14.1
9	40	23.7	14.4
10	20	21.18	19.36
11	35	28.4	18.86
12	40	23.78	15.16
13	40	20.84	19.34
14	30	21.72	19.06
15	35	22.78	14.34
16	30	22.34	25.06
17	40	23.18	14.36
18	35	22.44	14.76
19	20	21	24.68
20	25	22.16	14.8
21	25	22.48	14.4
22	15	22.46	14.04
23	35	22.96	14.46
24	20	20.7	26.08
25	35	22	14.18
26	35	22.22	24.96
27	25	22.84	14
28	20	29.54	19.7
29	15	20.68	24.38
30	5	21.8	26.08
31	25	22.7	14.3
32	10	20.76	25.92
33	15	22.08	19.22
34	20	22.3	14.1
35	30	21.42	18.08
36	45	23.42	15.14
37	35	21.64	25.48
38	40	28.82	18.66
39	35	22.96	14.72
40	20	20.72	19.7
41	15	22.38	25.12
42	15	21.16	19.3
43	20	30.12	18.5
44	25	22.22	14.2
45	15	28.54	18.66
46	10	22.1	14.1
47	25	23.5	15.2
48	10	22.58	14.32
49	25	23.08	14.7
50	5	20.74	19.64
51	25	21.34	19.2
52	35	29.44	19.06
53	20	23.04	14.68
54	15	28.66	18.72
55	35	29	17.86
56	20	22.4	24.96
57	10	28.96	18.02
58	15	30.04	19.28
59	30	22.44	14.1
60	30	28.56	19.02
61	5	22.86	14.2
62	35	23.16	14.32
63	10	29.48	18.76
64	30	23.36	14
65	40	22.76	15.1
66	20	21.68	25.28
67	25	20.7	18.62
68	5	23.86	14.38
69	35	22.96	14.34
70	40	22.72	14.14
71	30	21.2	24.18
72	40	23.26	15.02
73	10	22.8	14.16
74	35	21.26	25.74
75	10	21.74	19.36
76	15	20.82	25.4
77	5	21.62	19.28
78	45	22.58	14.1
79	45	28.64	18.12
80	30	21.9	19.66
81	45	22.08	14.94
82	45	21.8	24.72
83	10	21.46	19.5
84	15	23.36	14.96
85	45	21.84	25.76
86	30	21.46	19.2
87	30	22.28	19.38
88	20	22.46	18.72
89	15	22.84	14.36
90	20	29.18	18.78
91	25	23.64	14.32
92	15	20.64	17.94
93	25	23.76	14.48
94	35	22.84	14.26
95	5	21.34	25.64
96	10	23.88	14.26
97	15	21.42	18.36
98	45	21.04	25.92
99	20	22.48	24.94
100	30	22.3	14

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
