mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
171	3	8	10	150	3595	1200	500	11	56	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor		
1	1250	3000	4	300	32	30	
2	1140	3400	3	250	10	6	
3	1205	3000	4	250	16	34	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1100	8	210	14	30	0.2	0.06
2	900	7	230	19	16	0.2	0.06
3	1000	8	200	33	24	0.1	0.05
4	1100	6	220	28	16	0.25	0.09
5	1000	8	200	24	18	0.1	0.06
6	1100	5	230	17	15	0.1	0.08
7	1000	6	200	8	15	0.2	0.05
8	1100	8	210	29	26	0.2	0.09

No.	x-cor	y-cor
1	18.8	8
2	21.8	12.2
3	12.5	29.3
4	19.7	23
5	27.5	14.9
6	27.5	29.3
7	25.1	25.4
8	15.5	16.1
9	8.9	27.5
10	23.9	26.3

No.	cdemand	x-cor	y-cor
1	40	24.3	25.54
2	35	24.94	24.9
3	45	26.56	29.56
4	30	25.66	25.94
5	45	27.32	15.38
6	10	27.22	28.8
7	15	20.1	23.44
8	10	20.34	23.66
9	40	14.84	16.26
10	45	16.18	16.88
11	10	16.46	15.58
12	5	14.66	16.02
13	25	20.6	23.54
14	10	27.78	15.82
15	40	28.04	14.02
16	10	28.12	15.72
17	5	15.88	15.94
18	15	27.58	29.66
19	10	14.58	16.72
20	20	19.48	23.4
21	5	28	15.22
22	25	27.16	28.58
23	5	26.66	14.32
24	15	19.24	22
25	35	25.26	25.66
26	25	14.94	16.72
27	25	24.14	25.46
28	35	25.42	26.34
29	45	28.4	29.82
30	15	26.84	29.78
31	15	24.78	24.7
32	10	25.94	25.72
33	45	16.02	16.98
34	20	19.32	23.02
35	25	19.74	22.12
36	35	26.62	28.58
37	25	19.24	23.54
38	15	24.14	25.36
39	40	28	29.32
40	30	19.74	23.12
41	25	28.02	28.76
42	30	15.38	15.74
43	5	24.42	26.26
44	40	25.3	25.68
45	40	26.98	29.86
46	35	27.26	15.36
47	5	20.46	23.78
48	30	27.06	30.08
49	45	24.32	25.58
50	15	18.82	23.36
51	45	28.06	28.46
52	5	16.14	15.38
53	25	27.68	15.74
54	10	26.5	14.74
55	20	28.26	29.2
56	10	15.34	16.08
57	20	27.42	30.28
58	15	15.22	15.14
59	35	19.96	22.18
60	40	27.62	28.68
61	20	19.34	22.72
62	30	27.2	14.16
63	30	26.7	15.84
64	15	25.34	24.66
65	30	16.06	15.1
66	5	27.02	15.66
67	35	27.18	15.56
68	25	15.42	15.6
69	30	24.48	24.56
70	40	24.32	25.82
71	20	24.58	26.02
72	25	16.16	15.92
73	5	27.18	28.66
74	40	27.66	28.98
75	20	19.24	22.78
76	45	15.16	15.96
77	30	15.42	15.16
78	20	28.12	15.48
79	25	25.7	24.46
80	15	16.44	16.34
81	30	16.46	15.3
82	45	18.82	23.4
83	15	20.2	23.08
84	5	20.08	23.26
85	15	15.98	15.82
86	15	26.52	30.04
87	25	16.32	17
88	20	25.84	26.28
89	15	15.6	15.92
90	10	27.8	28.72
91	30	25.5	26.1
92	30	26.6	15.4
93	5	19	22.56
94	30	19.54	23.04
95	35	27.26	29.72
96	15	25.28	25.94
97	25	14.88	15.64
98	10	27.12	14.38
99	20	28.04	14.14
100	30	28.36	15.5
101	5	25.8	25.52
102	45	14.54	15.88
103	5	25.3	25.58
104	10	16.18	15.28
105	30	19.66	23.62
106	20	18.78	22.1
107	20	28.08	14
108	10	27.94	28.56
109	35	19.88	22
110	40	28.02	15.36
111	5	27.54	28.5
112	15	19.88	22.68
113	35	26.02	25.92
114	35	15.46	16.9
115	35	27.16	15.44
116	40	19.94	22.76
117	20	20.4	22.04
118	40	19.76	22.12
119	15	25.6	26.08
120	20	26.5	28.62
121	5	25.88	26
122	30	27.48	29.42
123	40	15.54	16.46
124	5	19.62	23.94
125	5	26.72	14.32
126	20	15.52	16.56
127	40	27.76	15.58
128	10	16.2	15.48
129	25	26.86	15
130	10	27.72	29.7
131	5	28.12	14.48
132	40	15.72	16.18
133	30	15.68	15.78
134	20	15.04	15.18
135	5	18.9	23.38
136	30	25.84	26.3
137	45	14.52	17.04
138	20	15.34	15.86
