mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
131	3	8	20	100	2515	1200	500	9	56	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor	
1	890	3600	3	280	28	8	
2	785	3400	3	300	18	4	
3	840	3600	3	250	18	2	

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	8	200	16	27	0.25	0.08
2	1000	7	230	25	14	0.25	0.09
3	900	8	220	25	23	0.25	0.06
4	1000	7	220	22	22	0.25	0.05
5	1100	6	200	12	21	0.1	0.09
6	800	6	220	7	23	0.25	0.08
7	800	6	230	32	23	0.2	0.08
8	1000	8	220	18	9	0.25	0.08

No.	x-cor	y-cor
1	15.5	32.6
2	14.9	29.9
3	14	32.6
4	27.5	17
5	26.9	15.5
6	7.1	23.9
7	24.2	23.3
8	12.8	20.9
9	23.6	19.7
10	26.9	32
11	25.7	30.8
12	5.6	24.2
13	31.7	17.3
14	25.1	7.7
15	29.3	20.6
16	24.5	16.1
17	27.2	12.5
18	21.5	7.7
19	18.2	9.2
20	8.3	16.1

No.	cdemand	x-cor	y-cor
1	25	14.64	31.68
2	30	29.1	21.16
3	25	27.36	16.66
4	40	15.08	30.2
5	10	26.86	31.06
6	15	32.52	18.24
7	25	15.1	30
8	45	25.68	30.72
9	10	26.7	15.6
10	5	15.54	29.42
11	25	23.24	23.22
12	10	26.92	31.6
13	20	26.96	17.64
14	30	29.84	20.64
15	15	23.46	20.44
16	25	23.12	19.42
17	10	28.46	17.36
18	5	29.46	20.28
19	40	23.4	19.12
20	15	24.26	19.66
21	35	31.98	18.18
22	15	23.84	23.76
23	30	23.16	20.4
24	40	15.6	33.24
25	10	26.42	16.26
26	35	25.9	31.76
27	10	26.52	14.96
28	35	26.64	30.48
29	30	29.22	21.5
30	5	27.38	16.56
31	10	14.42	31.8
32	5	14.5	32.96
33	40	15.3	32.08
34	40	25.26	15.42
35	10	31.4	16.38
36	30	24.5	18.94
37	20	16.46	32.3
38	35	24.3	19.88
39	25	29.92	19.92
40	35	28.74	20.86
41	35	28.34	16.38
42	40	26.32	32.1
43	35	26.72	15.48
44	5	14.2	32.36
45	15	14.82	30.28
46	30	15.4	31.7
47	5	22.98	19.54
48	5	28.16	17.44
49	25	32.22	18.28
50	15	28.4	17.42
51	30	16.22	31.74
52	45	27.76	17.7
53	15	15.08	33.24
54	45	24.12	18.94
55	40	28.54	21.26
56	45	27.82	31.64
57	20	31.2	17.32
58	25	24.96	30.34
59	25	30.24	20.68
60	25	31.72	17.56
61	45	25.26	15.7
62	35	27.46	32.8
63	25	15.02	29.48
64	20	15.56	29.84
65	20	24.56	23.5
66	40	23.76	16.62
67	10	26.12	30.48
68	30	24.04	20.08
69	40	14.02	30.22
70	45	29.26	20.88
71	25	24.36	23.86
72	5	15.86	32.06
73	30	25.1	15.46
74	10	24.98	22.42
75	35	26.68	31.22
76	25	29.02	19.94
77	20	27.04	17.72
78	25	14.12	29.92
79	45	15.48	30
80	30	24.98	16.4
81	40	24.42	23.84
82	20	26.56	30.84
83	10	26.34	16.3
84	45	24.2	17.04
85	5	15.6	32.12
86	45	23.5	19.66
87	45	28.68	20.08
88	5	24.94	15.76
89	25	27.02	14.72
90	10	25.52	30.94
91	15	15.36	31.6
92	45	27.76	16.14
93	5	15.82	29
94	35	31.2	16.78
95	10	26.5	30.28
96	45	24.22	16.28
97	30	23.86	15.54
98	25	14.86	32.8
99	35	25.58	30.86
100	15	26.26	31.9

1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 
0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 
