mnode	ndep	nsat	npic	ncus	tdemand	vcap1	vcap2	nv1	nv2	vwt1	vwt2	speed1	speed2	ud1	ud2	utp	ucp	utc
181	3	8	20	150	3805	1200	500	11	54	180	180	40	30	1.5	1.1	0.2	1	1.2

No.	ddemand	dcap	nveh	vfc1	x-cor	y-cor
1	1290	3600	4	260	4	26	
2	1130	3400	3	300	26	36	
3	1385	3200	4	300	10	10

No.	scap	nveh	vfc	x-cor	y-cor	uhcost	uhtime
1	1000	7	200	32	27	0.15	0.09
2	800	7	200	21	32	0.2	0.05
3	800	7	220	24	16	0.2	0.06
4	900	7	200	25	10	0.15	0.08
5	1000	5	200	31	26	0.15	0.09
6	800	7	230	11	10	0.2	0.08
7	800	7	200	18	21	0.15	0.05
8	1100	7	200	25	19	0.15	0.06

No.	x-cor	y-cor
1	7.1	12.8
2	7.4	22.4
3	8.6	13.1
4	16.7	29.6
5	14	29.9
6	28.7	13.4
7	15.8	5.9
8	31.4	15.8
9	26.6	14
10	5.6	22.7
11	22.7	26.6
12	8	26
13	32.3	12.8
14	29.9	29.3
15	11	11.9
16	15.5	14.3
17	10.7	26.6
18	30.2	15.2
19	28.4	17.3
20	28.4	13.7

No.	cdemand	x-cor	y-cor
1	10	28.66	18.16
2	10	26.8	14.68
3	10	30.88	15.4
4	35	27.9	14.24
5	35	29.88	28.4
6	35	26.36	14.76
7	10	26.06	14.78
8	35	29.46	14.06
9	15	21.74	26.28
10	45	30.12	15.36
11	35	14.78	14.98
12	30	15.72	29.5
13	40	30.06	30
14	35	16.64	29.18
15	30	27.44	17
16	10	22.6	26.78
17	20	26.42	14.7
18	15	29.6	14.18
19	10	29.28	15.04
20	20	22.4	26.54
21	30	28.98	14.22
22	15	27.76	17.7
23	5	29.38	15.28
24	45	14.78	14.28
25	20	29.02	14.3
26	5	26.52	14.32
27	40	28.9	17.46
28	25	14.66	14.04
29	5	15.84	14.82
30	25	29.14	29.84
31	5	14.72	30.26
32	10	26.16	14.02
33	45	28.38	14.04
34	45	28.84	14.24
35	20	26.04	14.34
36	40	30.66	28.78
37	5	27.96	16.42
38	20	28.44	17.34
39	25	30.44	30.26
40	35	30.76	15.54
41	20	14.86	14.7
42	45	22.32	26.84
43	10	30.72	15.34
44	25	16.12	30.26
45	40	17.3	30.3
46	15	27.06	14.4
47	20	31.48	15.86
48	45	17.04	30.28
49	40	25.64	14.08
50	35	16.76	29.74
51	10	16.32	29.22
52	25	29.6	14.24
53	20	32	16.52
54	30	17.42	30.16
55	15	29.46	28.32
56	30	31.1	16.04
57	35	28.32	14.32
58	35	30.42	28.58
59	35	28.12	14.38
60	25	29.66	14.2
61	20	29.8	28.62
62	40	28.08	14
63	15	29.36	14.86
64	40	30.82	16.36
65	45	29.9	15.94
66	5	14.1	29.54
67	45	15.88	14.8
68	25	16.66	30.54
69	45	27.82	14.34
70	40	28.38	17.96
71	5	16.18	14.08
72	40	27.9	16.4
73	10	14.08	29.06
74	25	29.2	14.62
75	40	14.08	30.2
76	45	28.06	16.7
77	5	27.54	14.52
78	5	21.78	26.4
79	40	28.28	16.46
80	20	16.3	14.1
81	40	14.14	30.08
82	10	21.82	25.66
83	35	31.48	15.26
84	45	32.2	15.46
85	40	22.04	27.48
86	15	14.86	30.82
87	15	27.76	17.66
88	35	28.12	17.96
89	30	21.96	25.96
90	10	14.12	30.56
91	10	29.06	14.36
